id,id_type,in_logs,in_sample_list,location,mismatch
ERR10031366,ERR,True,False,none,True
ERR10031367,ERR,True,False,none,True
ERR10031368,ERR,True,False,none,True
ERR10031369,ERR,True,False,none,True
ERR10031370,ERR,True,False,none,True
SAMEA110464434,SAMEA,True,True,first_column,False
SAMEA110464435,SAMEA,True,True,first_column,False
SAMEA110464436,SAMEA,True,True,first_column,False
SAMEA110464437,SAMEA,True,True,first_column,False
SAMEA110464438,SAMEA,True,True,first_column,False
SAMN08737016,SAMN,True,True,first_column,False
SAMN08737017,SAMN,True,True,first_column,False
SAMN14327243,SAMN,True,True,first_column,False
SAMN14328247,SAMN,True,True,first_column,False
SAMN14328388,SAMN,True,True,first_column,False
SAMN14328447,SAMN,True,True,first_column,False
SAMN14328750,SAMN,True,True,first_column,False
SAMN14328770,SAMN,True,True,first_column,False
SAMN15041566,SAMN,True,True,first_column,False
SAMN15041580,SAMN,True,True,first_column,False
SAMN15041581,SAMN,True,True,first_column,False
SAMN15041584,SAMN,True,True,first_column,False
SAMN15041585,SAMN,True,True,first_column,False
SAMN15041587,SAMN,True,True,first_column,False
SAMN16537915,SAMN,True,True,first_column,False
SAMN16537916,SAMN,True,True,first_column,False
SAMN16537917,SAMN,True,True,first_column,False
SAMN16537918,SAMN,True,True,first_column,False
SAMN31240819,SAMN,True,True,first_column,False
SAMN31240820,SAMN,True,True,first_column,False
SAMN31240821,SAMN,True,True,first_column,False
SAMN31240822,SAMN,True,True,first_column,False
SAMN31240824,SAMN,True,True,first_column,False
SAMN31240825,SAMN,True,True,first_column,False
SAMN31240826,SAMN,True,True,first_column,False
SAMN31240827,SAMN,True,True,first_column,False
SAMN31240828,SAMN,True,True,first_column,False
SAMN31240829,SAMN,True,True,first_column,False
SAMN31240830,SAMN,True,True,first_column,False
SAMN31240831,SAMN,True,True,first_column,False
SAMN31240833,SAMN,True,True,first_column,False
SAMN31240834,SAMN,True,True,first_column,False
SAMN31240835,SAMN,True,True,first_column,False
SAMN31240836,SAMN,True,True,first_column,False
SAMN31240837,SAMN,True,True,first_column,False
SAMN31240838,SAMN,True,True,first_column,False
SAMN31240840,SAMN,True,True,first_column,False
SAMN31240841,SAMN,True,True,first_column,False
SAMN31240842,SAMN,True,True,first_column,False
SAMN31240843,SAMN,True,True,first_column,False
SAMN31240844,SAMN,True,True,first_column,False
SAMN31240846,SAMN,True,True,first_column,False
SAMN31240847,SAMN,True,True,first_column,False
SAMN31240848,SAMN,True,True,first_column,False
SAMN31240849,SAMN,True,True,first_column,False
SAMN31240850,SAMN,True,True,first_column,False
SAMN31240851,SAMN,True,True,first_column,False
SAMN31240853,SAMN,True,True,first_column,False
SAMN31240854,SAMN,True,True,first_column,False
SAMN31240855,SAMN,True,True,first_column,False
SAMN31240856,SAMN,True,True,first_column,False
SAMN31240857,SAMN,True,True,first_column,False
SAMN31240858,SAMN,True,True,first_column,False
SAMN31240859,SAMN,True,True,first_column,False
SAMN31240860,SAMN,True,True,first_column,False
SAMN31240861,SAMN,True,True,first_column,False
SAMN31240862,SAMN,True,True,first_column,False
SAMN31240863,SAMN,True,True,first_column,False
SAMN31240864,SAMN,True,True,first_column,False
SAMN31240865,SAMN,True,True,first_column,False
SAMN31240866,SAMN,True,True,first_column,False
SAMN31240867,SAMN,True,True,first_column,False
SAMN31240868,SAMN,True,True,first_column,False
SAMN31240869,SAMN,True,True,first_column,False
SAMN31240870,SAMN,True,True,first_column,False
SAMN31240871,SAMN,True,True,first_column,False
SAMN31240872,SAMN,True,True,first_column,False
SAMN31240873,SAMN,True,True,first_column,False
SAMN31240874,SAMN,True,True,first_column,False
SAMN31240875,SAMN,True,True,first_column,False
SAMN31240876,SAMN,True,True,first_column,False
SAMN31240877,SAMN,True,True,first_column,False
SAMN31240878,SAMN,True,True,first_column,False
SAMN31240879,SAMN,True,True,first_column,False
SAMN31240880,SAMN,True,True,first_column,False
SAMN31240881,SAMN,True,True,first_column,False
SAMN31240882,SAMN,True,True,first_column,False
SAMN31240883,SAMN,True,True,first_column,False
SAMN31240884,SAMN,True,True,first_column,False
SAMN31240885,SAMN,True,True,first_column,False
SAMN31240886,SAMN,True,True,first_column,False
SAMN31240887,SAMN,True,True,first_column,False
SAMN31240888,SAMN,True,True,first_column,False
SAMN31240889,SAMN,True,True,first_column,False
SAMN31240890,SAMN,True,True,first_column,False
SAMN31240891,SAMN,True,True,first_column,False
SAMN31240892,SAMN,True,True,first_column,False
SAMN31240893,SAMN,True,True,first_column,False
SAMN31240894,SAMN,True,True,first_column,False
SAMN31240895,SAMN,True,True,first_column,False
SAMN31240896,SAMN,True,True,first_column,False
SAMN31240897,SAMN,True,True,first_column,False
SAMN31240898,SAMN,True,True,first_column,False
SAMN31240899,SAMN,True,True,first_column,False
SAMN31240900,SAMN,True,True,first_column,False
SAMN31240901,SAMN,True,True,first_column,False
SAMN31240902,SAMN,True,True,first_column,False
SAMN31240903,SAMN,True,True,first_column,False
SAMN31240904,SAMN,True,True,first_column,False
SAMN31240905,SAMN,True,True,first_column,False
SAMN31240906,SAMN,True,True,first_column,False
SAMN31240907,SAMN,True,True,first_column,False
SAMN31240908,SAMN,True,True,first_column,False
