sample_id,in_bam_dir,in_sample_list,mismatch
SAMD00175977,False,True,True
SAMD00175978,False,True,True
SAMD00175979,False,True,True
SAMD00175980,False,True,True
SAMD00175981,False,True,True
SAMD00175982,False,True,True
SAMD00175983,False,True,True
SAMD00175984,False,True,True
SAMD00175985,False,True,True
SAMD00175986,False,True,True
SAMD00175987,False,True,True
SAMD00175988,False,True,True
SAMD00175989,False,True,True
SAMD00175990,False,True,True
SAMN03174076,False,True,True
SAMN03174078,False,True,True
SAMN03174079,False,True,True
SAMN03174083,False,True,True
SAMN03174085,False,True,True
SAMN03174089,False,True,True
SAMN03174094,False,True,True
SAMN03174095,False,True,True
SAMN04889723,False,True,True
SAMN04889724,False,True,True
SAMN04889733,False,True,True
SAMN04889734,False,True,True
SAMN04889735,False,True,True
SAMN04889736,False,True,True
SAMN04889737,False,True,True
SAMN04889738,False,True,True
SAMN09935523,False,True,True
SAMN09935524,False,True,True
SAMN09935525,False,True,True
SAMN09935526,False,True,True
SAMN09935527,False,True,True
SAMN09935528,False,True,True
SAMN10033065,False,True,True
SAMN10033066,False,True,True
SAMN10033067,False,True,True
SAMN10033068,False,True,True
SAMN10033069,False,True,True
SAMN10033070,False,True,True
SAMN10033071,False,True,True
SAMN10033072,False,True,True
SAMN10033073,False,True,True
SAMN10033074,False,True,True
SAMN11620811,False,True,True
SAMN11620812,False,True,True
SAMN11620813,False,True,True
SAMN11620814,False,True,True
SAMN11620815,False,True,True
SAMN11620816,False,True,True
SAMN11620817,False,True,True
SAMN11620818,False,True,True
SAMN11620819,False,True,True
SAMN11620820,False,True,True
SAMN11620821,False,True,True
SAMN11620822,False,True,True
SAMN11620823,False,True,True
SAMN11620824,False,True,True
SAMN11620825,False,True,True
SAMN11620826,False,True,True
SAMN11620827,False,True,True
SAMN11620828,False,True,True
SAMN11620829,False,True,True
SAMN11620830,False,True,True
SAMN11620831,False,True,True
SAMN11620832,False,True,True
SAMN11620833,False,True,True
SAMN11620834,False,True,True
SAMN11620851,False,True,True
SAMN11620852,False,True,True
SAMN11620853,False,True,True
SAMN11620854,False,True,True
SAMN11620855,False,True,True
SAMN11620856,False,True,True
SAMN11620857,False,True,True
SAMN11620868,False,True,True
SAMN11620869,False,True,True
SAMN11620870,False,True,True
SAMN11620871,False,True,True
SAMN11620872,False,True,True
SAMN11620873,False,True,True
SAMN11620874,False,True,True
SAMN11620875,False,True,True
SAMN11620876,False,True,True
SAMN11620877,False,True,True
SAMN11620878,False,True,True
SAMN11620879,False,True,True
SAMN11620880,False,True,True
SAMN11620881,False,True,True
SAMN11620882,False,True,True
SAMN11620883,False,True,True
SAMN11620884,False,True,True
SAMN11620924,False,True,True
SAMN11620925,False,True,True
SAMN11620926,False,True,True
SAMN11620927,False,True,True
SAMN12647839,False,True,True
SAMN12647840,False,True,True
SAMN12647841,False,True,True
SAMN12647842,False,True,True
SAMN12647843,False,True,True
SAMN13070664,False,True,True
SAMN13070666,False,True,True
SAMN13070715,False,True,True
SAMN14928618,False,True,True
SAMN14928619,False,True,True
SAMN14928620,False,True,True
SAMN14928621,False,True,True
SAMN15374115,False,True,True
SAMN15374152,False,True,True
SAMN15374154,False,True,True
SAMN15374263,False,True,True
SAMN15374297,False,True,True
SAMN15374394,False,True,True
SAMN15374410,False,True,True
SAMN15374415,False,True,True
SAMN18797336,True,True,False
SAMN18797338,True,True,False
SAMN18797339,False,True,True
SAMN18797341,True,True,False
SAMN18797342,True,True,False
SAMN18797344,False,True,True
SAMN18797345,True,True,False
SAMN18797346,True,True,False
SAMN18797348,True,True,False
SAMN18797349,True,True,False
SAMN18797351,True,True,False
SAMN18797353,True,True,False
SAMN18797355,True,True,False
SAMN18797357,True,True,False
SAMN18797359,True,True,False
SAMN18797360,True,True,False
SAMN18797361,True,True,False
SAMN18797362,True,True,False
SAMN18797363,True,True,False
SAMN18797364,True,True,False
SAMN18797365,True,True,False
SAMN18797366,True,True,False
SAMN18797367,True,True,False
SAMN18797368,True,True,False
SAMN18797369,True,True,False
SAMN18797370,False,True,True
SAMN18797371,True,True,False
SAMN18797372,True,True,False
SAMN18797373,False,True,True
SAMN18797374,True,True,False
SAMN18797375,False,True,True
SAMN18797376,False,True,True
SAMN18797377,False,True,True
SAMN18797378,True,True,False
SAMN18797379,True,True,False
SAMN18797380,True,True,False
SAMN18797381,True,True,False
SAMN18797382,True,True,False
SAMN18797383,True,True,False
SAMN18797384,True,True,False
SAMN18797385,True,True,False
SAMN18797386,True,True,False
SAMN18797387,False,True,True
SAMN18797388,True,True,False
SAMN18797389,True,True,False
SAMN18797390,True,True,False
SAMN18797391,True,True,False
SAMN18797392,False,True,True
SAMN18797393,True,True,False
SAMN18797394,True,True,False
SAMN18797395,True,True,False
SAMN18797396,False,True,True
SAMN18797406,True,True,False
SAMN18797407,True,True,False
SAMN18797408,True,True,False
SAMN18797409,True,True,False
SAMN18797410,True,True,False
SAMN18797411,True,True,False
SAMN18797412,True,True,False
SAMN18797413,True,True,False
SAMN18797414,False,True,True
SAMN18797417,True,True,False
SAMN21506940,False,True,True
SAMN21506941,False,True,True
SAMN21506942,False,True,True
SAMN21506943,False,True,True
SAMN21506944,False,True,True
SAMN21506945,False,True,True
SAMN21506946,False,True,True
SAMN22060944,False,True,True
SAMN22060945,False,True,True
SAMN22060947,False,True,True
SAMN22060949,False,True,True
SAMN22060976,False,True,True
SAMN22060977,False,True,True
SAMN24437315,False,True,True
SAMN24437317,False,True,True
SAMN24437319,False,True,True
SAMN24437321,False,True,True
SAMN24437323,False,True,True
SAMN24437325,False,True,True
SAMN24437327,False,True,True
SAMN24437329,False,True,True
SAMN24437331,False,True,True
SAMN24437333,False,True,True
SAMN24437335,False,True,True
SAMN24437337,False,True,True
SAMN24437339,False,True,True
SAMN24437341,False,True,True
SAMN26850974,False,True,True
SAMN26851002,False,True,True
SAMN28887423,False,True,True
SAMN28887424,False,True,True
SAMN28887425,False,True,True
SAMN28887426,False,True,True
SAMN28887427,False,True,True
SAMN28887428,False,True,True
SAMN28887429,False,True,True
SAMN28887430,False,True,True
SAMN28887431,False,True,True
SAMN28887432,False,True,True
SAMN28887433,False,True,True
SAMN28887434,False,True,True
SAMN28887435,False,True,True
SAMN28887436,False,True,True
SAMN28887437,False,True,True
SAMN28887438,False,True,True
SAMN28887439,False,True,True
SAMN28887440,False,True,True
SAMN28887441,False,True,True
SAMN28887442,False,True,True
SAMN29868486,True,True,False
SAMN29868487,True,True,False
SAMN29868488,True,True,False
SAMN29868489,True,True,False
SAMN29868490,True,True,False
SAMN29868491,True,True,False
SAMN29868492,True,True,False
SAMN29868493,True,True,False
SAMN29868494,True,True,False
SAMN29868495,True,True,False
SAMN29868496,True,True,False
SAMN29868497,True,True,False
SAMN29868498,True,True,False
SAMN29868499,True,True,False
