srr_id,in_sample_list,in_Pancreas_SRA,in_Pancreas_SRA2,in_any_reference
DRR182532,1,1,0,1
DRR182533,1,1,0,1
DRR182534,1,1,0,1
DRR182535,1,1,0,1
DRR182536,1,1,0,1
DRR182537,1,1,0,1
DRR182538,1,1,0,1
DRR182539,1,1,0,1
DRR182540,1,1,0,1
DRR182541,1,1,0,1
DRR182542,1,1,0,1
DRR182543,1,1,0,1
DRR182544,1,1,0,1
DRR182545,1,1,0,1
SRR10030979,1,1,0,1
SRR10030980,1,1,0,1
SRR10030981,1,1,0,1
SRR10030982,1,1,0,1
SRR10030983,1,1,0,1
SRR10319860,1,1,0,1
SRR10319862,1,1,0,1
SRR10319864,1,1,0,1
SRR11792167,1,1,0,1
SRR11792168,1,1,0,1
SRR11792169,1,1,0,1
SRR11792170,1,1,1,1
SRR14275251,1,1,0,1
SRR14275252,1,1,0,1
SRR14275253,1,1,0,1
SRR14275254,1,1,0,1
SRR14275255,1,1,0,1
SRR14275256,1,1,0,1
SRR14275257,1,1,0,1
SRR14275258,1,1,0,1
SRR14275259,1,1,0,1
SRR14275260,1,1,0,1
SRR14275261,1,1,0,1
SRR14275262,1,1,0,1
SRR14275263,1,1,0,1
SRR14275264,1,1,0,1
SRR14275265,1,1,0,1
SRR14275266,1,1,0,1
SRR14275267,1,1,0,1
SRR14275268,1,1,0,1
SRR14275269,1,1,0,1
SRR14275270,1,1,0,1
SRR14275271,1,1,0,1
SRR14275272,1,1,0,1
SRR14275273,1,1,0,1
SRR14275274,1,1,0,1
SRR14275275,1,1,0,1
SRR14275276,1,1,0,1
SRR14275277,1,1,0,1
SRR14275278,1,1,0,1
SRR14275279,1,1,0,1
SRR14275280,1,1,0,1
SRR14275281,1,1,0,1
SRR14275282,1,1,0,1
SRR14275283,1,1,0,1
SRR14275284,1,1,0,1
SRR14275285,1,1,0,1
SRR14275286,1,1,0,1
SRR14275287,1,1,0,1
SRR14275288,1,1,0,1
SRR14275289,1,1,0,1
SRR14275290,1,1,0,1
SRR14275291,1,1,0,1
SRR14275292,1,1,0,1
SRR14275293,1,1,0,1
SRR14275294,1,1,0,1
SRR14275295,1,1,0,1
SRR14275296,1,1,0,1
SRR14275297,1,1,0,1
SRR14275298,1,1,1,1
SRR14275299,1,1,0,1
SRR14275300,1,1,0,1
SRR14275301,1,1,0,1
SRR14275302,1,1,0,1
SRR14275303,1,1,0,1
SRR14275304,1,1,0,1
SRR14275305,1,1,0,1
SRR14275306,1,1,0,1
SRR14275307,1,1,0,1
SRR14275308,1,1,0,1
SRR14275309,1,1,0,1
SRR14275310,1,1,0,1
SRR14275311,1,1,0,1
SRR14275312,1,1,0,1
SRR15964342,1,1,1,1
SRR15964343,1,1,1,1
SRR15964344,1,1,1,1
SRR15964345,1,1,1,1
SRR15964346,1,1,1,1
SRR15964347,1,1,1,1
SRR15964348,1,1,1,1
SRR15964349,1,1,1,1
SRR15964350,1,1,1,1
SRR15964351,1,1,1,1
SRR15964352,1,1,1,1
SRR15964353,1,1,1,1
SRR16204430,1,1,0,1
SRR16204431,1,1,0,1
SRR16204432,1,1,0,1
SRR16204433,1,1,0,1
SRR16204438,1,1,0,1
SRR16204439,1,1,0,1
SRR1646784,1,1,0,1
SRR1646785,1,1,0,1
SRR1646786,1,1,0,1
SRR1646787,1,1,0,1
SRR1646788,1,1,0,1
SRR1646789,1,1,0,1
SRR1646790,1,1,0,1
SRR1646791,1,1,0,1
SRR17335068,1,1,0,1
SRR17335070,1,1,0,1
SRR17335072,1,1,0,1
SRR17335074,1,1,0,1
SRR17335076,1,1,0,1
SRR17335078,1,1,0,1
SRR17335080,1,1,0,1
SRR17335082,1,1,0,1
SRR17335084,1,1,0,1
SRR17335086,1,1,0,1
SRR17335088,1,1,0,1
SRR17335090,1,1,0,1
SRR17335091,1,1,0,1
SRR17335093,1,1,0,1
SRR19560204,1,1,1,1
SRR19560205,1,1,0,1
SRR19560206,1,1,0,1
SRR19560207,1,1,0,1
SRR19560208,1,1,0,1
SRR19560209,1,1,0,1
SRR19560210,1,1,0,1
SRR19560211,1,1,0,1
SRR19560212,1,1,0,1
SRR19560213,1,1,0,1
SRR19560214,1,1,0,1
SRR19560215,1,1,0,1
SRR19560216,1,1,1,1
SRR19560217,1,1,0,1
