id,id_type,in_logs,in_sample_list,location,mismatch
DRR182532,DRR,True,True,R1_or_R2,False
DRR182533,DRR,True,True,R1_or_R2,False
DRR182534,DRR,True,True,R1_or_R2,False
DRR182535,DRR,True,True,R1_or_R2,False
DRR182536,DRR,True,True,R1_or_R2,False
DRR182537,DRR,True,True,R1_or_R2,False
DRR182538,DRR,True,True,R1_or_R2,False
DRR182539,DRR,True,True,R1_or_R2,False
DRR182540,DRR,True,True,R1_or_R2,False
DRR182541,DRR,True,True,R1_or_R2,False
DRR182542,DRR,True,True,R1_or_R2,False
DRR182543,DRR,True,True,R1_or_R2,False
DRR182544,DRR,True,True,R1_or_R2,False
DRR182545,DRR,True,True,R1_or_R2,False
SAMD00175977,SAMD,True,True,first_column,False
SAMD00175978,SAMD,True,True,first_column,False
SAMD00175979,SAMD,True,True,first_column,False
SAMD00175980,SAMD,True,True,first_column,False
SAMD00175981,SAMD,True,True,first_column,False
SAMD00175982,SAMD,True,True,first_column,False
SAMD00175983,SAMD,True,True,first_column,False
SAMD00175984,SAMD,True,True,first_column,False
SAMD00175985,SAMD,True,True,first_column,False
SAMD00175986,SAMD,True,True,first_column,False
SAMD00175987,SAMD,True,True,first_column,False
SAMD00175988,SAMD,True,True,first_column,False
SAMD00175989,SAMD,True,True,first_column,False
SAMD00175990,SAMD,True,True,first_column,False
SAMN03174076,SAMN,True,True,first_column,False
SAMN03174078,SAMN,True,True,first_column,False
SAMN03174079,SAMN,True,True,first_column,False
SAMN03174083,SAMN,True,True,first_column,False
SAMN03174085,SAMN,True,True,first_column,False
SAMN03174089,SAMN,True,True,first_column,False
SAMN03174094,SAMN,True,True,first_column,False
SAMN03174095,SAMN,True,True,first_column,False
SAMN04889723,SAMN,True,True,first_column,False
SAMN04889724,SAMN,True,True,first_column,False
SAMN04889733,SAMN,True,True,first_column,False
SAMN04889734,SAMN,True,True,first_column,False
SAMN04889735,SAMN,True,True,first_column,False
SAMN04889736,SAMN,True,True,first_column,False
SAMN04889737,SAMN,True,True,first_column,False
SAMN04889738,SAMN,True,True,first_column,False
SAMN09935523,SAMN,True,True,first_column,False
SAMN09935524,SAMN,True,True,first_column,False
SAMN09935525,SAMN,True,True,first_column,False
SAMN09935526,SAMN,True,True,first_column,False
SAMN09935527,SAMN,True,True,first_column,False
SAMN09935528,SAMN,True,True,first_column,False
SAMN10033065,SAMN,True,True,first_column,False
SAMN10033066,SAMN,True,True,first_column,False
SAMN10033067,SAMN,True,True,first_column,False
SAMN10033068,SAMN,True,True,first_column,False
SAMN10033069,SAMN,True,True,first_column,False
SAMN10033070,SAMN,True,True,first_column,False
SAMN10033071,SAMN,True,True,first_column,False
SAMN10033072,SAMN,True,True,first_column,False
SAMN10033073,SAMN,True,True,first_column,False
SAMN10033074,SAMN,True,True,first_column,False
SAMN11620811,SAMN,True,True,first_column,False
SAMN11620812,SAMN,True,True,first_column,False
SAMN11620813,SAMN,True,True,first_column,False
SAMN11620814,SAMN,True,True,first_column,False
SAMN11620815,SAMN,True,True,first_column,False
SAMN11620816,SAMN,True,True,first_column,False
SAMN11620817,SAMN,True,True,first_column,False
