sample_id,srr_ids,r1_list,r2_list
SAMN42902819,SRR30063577,SRR30063577_1.fastq.gz,NA
SAMN42902821,SRR30063802,SRR30063802_1.fastq.gz,NA
SAMN42902822,SRR30063618,SRR30063618_1.fastq.gz,NA
SAMN42902823,SRR30063631,SRR30063631_1.fastq.gz,NA
SAMN42902824,SRR30063550,SRR30063550_1.fastq.gz,NA
SAMN42902825,SRR30063543,SRR30063543_1.fastq.gz,NA
SAMN42902826,SRR30063739,SRR30063739_1.fastq.gz,NA
SAMN42902827,SRR30063564,SRR30063564_1.fastq.gz,NA
SAMN42902828,SRR30063512,SRR30063512_1.fastq.gz,NA
SAMN42902829,SRR30063640,SRR30063640_1.fastq.gz,NA
SAMN42902830,SRR30063594,SRR30063594_1.fastq.gz,NA
SAMN42902834,SRR30063555,SRR30063555_1.fastq.gz,NA
SAMN42902836,SRR30063811,SRR30063811_1.fastq.gz,NA
SAMN42902837,SRR30063737,SRR30063737_1.fastq.gz,NA
SAMN42902838,SRR30063837,SRR30063837_1.fastq.gz,NA
SAMN42902839,SRR30063605,SRR30063605_1.fastq.gz,NA
SAMN42902840,SRR30063768,SRR30063768_1.fastq.gz,NA
SAMN42902842,SRR30063589,SRR30063589_1.fastq.gz,NA
SAMN42902844,SRR30063264,SRR30063264_1.fastq.gz,NA
SAMN42902845,SRR30063261,SRR30063261_1.fastq.gz,NA
SAMN42902846,SRR30063783,SRR30063783_1.fastq.gz,NA
SAMN42902847,SRR30063570,SRR30063570_1.fastq.gz,NA
SAMN42902849,SRR30063733,SRR30063733_1.fastq.gz,NA
SAMN42902850,SRR30063519,SRR30063519_1.fastq.gz,NA
SAMN42902852,SRR30063816,SRR30063816_1.fastq.gz,NA
SAMN42902854,SRR30063505,SRR30063505_1.fastq.gz,NA
SAMN42902857,SRR30063729,SRR30063729_1.fastq.gz,NA
SAMN42902858,SRR30063612,SRR30063612_1.fastq.gz,NA
SAMN42902862,SRR30063742,SRR30063742_1.fastq.gz,NA
SAMN42902864,SRR30063760,SRR30063760_1.fastq.gz,NA
SAMN42902866,SRR30063735,SRR30063735_1.fastq.gz,NA
SAMN42902867,SRR30063514,SRR30063514_1.fastq.gz,NA
SAMN42902870,SRR30063537,SRR30063537_1.fastq.gz,NA
SAMN42902871,SRR30063565,SRR30063565_1.fastq.gz,NA
SAMN42902872,SRR30063260,SRR30063260_1.fastq.gz,NA
SAMN42902875,SRR30063812,SRR30063812_1.fastq.gz,NA
SAMN42902876,SRR30063821,SRR30063821_1.fastq.gz,NA
SAMN42902877,SRR30063604,SRR30063604_1.fastq.gz,NA
SAMN42902881,SRR30063776,SRR30063776_1.fastq.gz,NA
SAMN42902882,SRR30063516,SRR30063516_1.fastq.gz,NA
SAMN42902885,SRR30063633,SRR30063633_1.fastq.gz,NA
SAMN42902886,SRR30063787,SRR30063787_1.fastq.gz,NA
SAMN42902888,SRR30063542,SRR30063542_1.fastq.gz,NA
SAMN42902889,SRR30063771,SRR30063771_1.fastq.gz,NA
SAMN42902890,SRR30063805,SRR30063805_1.fastq.gz,NA
SAMN42902892,SRR30063580,SRR30063580_1.fastq.gz,NA
SAMN42902893,SRR30063813,SRR30063813_1.fastq.gz,NA
SAMN42902898,SRR30063613,SRR30063613_1.fastq.gz,NA
SAMN42902899,SRR30063804,SRR30063804_1.fastq.gz,NA
