SAMD00175977	DRR182532_1.fastq.gz	DRR182532_2.fastq.gz
SAMD00175978	DRR182533_1.fastq.gz	DRR182533_2.fastq.gz
SAMD00175979	DRR182534_1.fastq.gz	DRR182534_2.fastq.gz
SAMD00175980	DRR182535_1.fastq.gz	DRR182535_2.fastq.gz
SAMD00175981	DRR182536_1.fastq.gz	DRR182536_2.fastq.gz
SAMD00175982	DRR182537_1.fastq.gz	DRR182537_2.fastq.gz
SAMD00175983	DRR182538_1.fastq.gz	DRR182538_2.fastq.gz
SAMD00175984	DRR182539_1.fastq.gz	DRR182539_2.fastq.gz
SAMD00175985	DRR182540_1.fastq.gz	DRR182540_2.fastq.gz
SAMD00175986	DRR182541_1.fastq.gz	DRR182541_2.fastq.gz
SAMD00175987	DRR182542_1.fastq.gz	DRR182542_2.fastq.gz
SAMD00175988	DRR182543_1.fastq.gz	DRR182543_2.fastq.gz
SAMD00175989	DRR182544_1.fastq.gz	DRR182544_2.fastq.gz
SAMD00175990	DRR182545_1.fastq.gz	DRR182545_2.fastq.gz
SAMN37100989	SRR25716769_1.fastq.gz	SRR25716769_2.fastq.gz
SAMN37100990	SRR25716771_1.fastq.gz	SRR25716771_2.fastq.gz
SAMN37100991	SRR25716773_1.fastq.gz	SRR25716773_2.fastq.gz
SAMN37459303	SRR26113230_1.fastq.gz	SRR26113230_2.fastq.gz
SAMN37459304	SRR26113231_1.fastq.gz	SRR26113231_2.fastq.gz
SAMN37459305	SRR26113232_1.fastq.gz	SRR26113232_2.fastq.gz
SAMN37459306	SRR26113233_1.fastq.gz	SRR26113233_2.fastq.gz
SAMN37459307	SRR26113234_1.fastq.gz	SRR26113234_2.fastq.gz
SAMN37459308	SRR26113235_1.fastq.gz	SRR26113235_2.fastq.gz
SAMN37459309	SRR26113236_1.fastq.gz	SRR26113236_2.fastq.gz
SAMN37459310	SRR26113237_1.fastq.gz	SRR26113237_2.fastq.gz
SAMN37459311	SRR26113238_1.fastq.gz	SRR26113238_2.fastq.gz
SAMN37459312	SRR26113239_1.fastq.gz	SRR26113239_2.fastq.gz
SAMN37459313	SRR26113240_1.fastq.gz	SRR26113240_2.fastq.gz
SAMN37459314	SRR26113241_1.fastq.gz	SRR26113241_2.fastq.gz
SAMN37459315	SRR26113242_1.fastq.gz	SRR26113242_2.fastq.gz
SAMN37459316	SRR26113243_1.fastq.gz	SRR26113243_2.fastq.gz
SAMN37459317	SRR26113244_1.fastq.gz	SRR26113244_2.fastq.gz
SAMN37459318	SRR26113245_1.fastq.gz	SRR26113245_2.fastq.gz
SAMN37459319	SRR26113246_1.fastq.gz	SRR26113246_2.fastq.gz
SAMN37459320	SRR26113247_1.fastq.gz	SRR26113247_2.fastq.gz
SAMN37459321	SRR26113248_1.fastq.gz	SRR26113248_2.fastq.gz
SAMN37459322	SRR26113249_1.fastq.gz	SRR26113249_2.fastq.gz
SAMN37459323	SRR26113250_1.fastq.gz	SRR26113250_2.fastq.gz
SAMN37459324	SRR26113251_1.fastq.gz	SRR26113251_2.fastq.gz
SAMN37459325	SRR26113252_1.fastq.gz	SRR26113252_2.fastq.gz
SAMN37459326	SRR26113253_1.fastq.gz	SRR26113253_2.fastq.gz
SAMN37459327	SRR26113254_1.fastq.gz	SRR26113254_2.fastq.gz
SAMN37459328	SRR26113255_1.fastq.gz	SRR26113255_2.fastq.gz
SAMN37459329	SRR26113256_1.fastq.gz	SRR26113256_2.fastq.gz
SAMN37459330	SRR26113257_1.fastq.gz	SRR26113257_2.fastq.gz
SAMN37459331	SRR26113258_1.fastq.gz	SRR26113258_2.fastq.gz
