id,id_type,in_logs,in_sample_list,location,mismatch
SAMN14236664,SAMN,True,True,first_column,False
SAMN14236665,SAMN,True,True,first_column,False
SAMN14236669,SAMN,True,True,first_column,False
SAMN14236671,SAMN,True,True,first_column,False
SAMN37746639,SAMN,True,True,first_column,False
SAMN37746640,SAMN,True,True,first_column,False
SAMN37746641,SAMN,True,True,first_column,False
SAMN37746642,SAMN,True,True,first_column,False
SAMN37746643,SAMN,True,True,first_column,False
SAMN37746647,SAMN,True,True,first_column,False
SAMN37746648,SAMN,True,True,first_column,False
SAMN37746649,SAMN,True,True,first_column,False
SAMN37746651,SAMN,True,True,first_column,False
SAMN37746652,SAMN,True,True,first_column,False
SAMN37746653,SAMN,True,True,first_column,False
SAMN37746654,SAMN,True,True,first_column,False
SAMN37746655,SAMN,True,True,first_column,False
SAMN37746656,SAMN,True,True,first_column,False
SAMN37746657,SAMN,True,True,first_column,False
SAMN37746658,SAMN,True,True,first_column,False
SAMN37746659,SAMN,True,True,first_column,False
SAMN37746660,SAMN,True,True,first_column,False
SAMN37746661,SAMN,True,True,first_column,False
SAMN37746662,SAMN,True,True,first_column,False
SAMN37746663,SAMN,True,True,first_column,False
SAMN37746664,SAMN,True,True,first_column,False
SAMN37746667,SAMN,True,True,first_column,False
SAMN37746674,SAMN,True,True,first_column,False
SAMN37746679,SAMN,True,True,first_column,False
SAMN37746681,SAMN,True,True,first_column,False
SAMN37746682,SAMN,True,True,first_column,False
SAMN37746684,SAMN,True,True,first_column,False
SAMN37746688,SAMN,True,True,first_column,False
SAMN37746689,SAMN,True,True,first_column,False
SAMN37746690,SAMN,True,True,first_column,False
SAMN37746691,SAMN,True,True,first_column,False
SAMN37746692,SAMN,True,True,first_column,False
SAMN37746693,SAMN,True,True,first_column,False
SAMN37746694,SAMN,True,True,first_column,False
SAMN37746695,SAMN,True,True,first_column,False
SAMN37746696,SAMN,True,True,first_column,False
SAMN37746697,SAMN,True,True,first_column,False
SAMN37746698,SAMN,True,True,first_column,False
SAMN37746699,SAMN,True,True,first_column,False
SAMN37746700,SAMN,True,True,first_column,False
SAMN37746701,SAMN,True,True,first_column,False
SAMN37746702,SAMN,True,True,first_column,False
SAMN37746704,SAMN,True,True,first_column,False
SAMN37746709,SAMN,True,True,first_column,False
SAMN37746711,SAMN,True,True,first_column,False
SAMN37746712,SAMN,True,True,first_column,False
SAMN37746715,SAMN,True,True,first_column,False
SAMN37746716,SAMN,True,True,first_column,False
SAMN37746717,SAMN,True,True,first_column,False
SAMN37746723,SAMN,True,True,first_column,False
SAMN37746724,SAMN,True,True,first_column,False
SRR11196339,SRR,True,False,none,True
SRR11196341,SRR,True,False,none,True
SRR11196345,SRR,True,False,none,True
SRR11196346,SRR,True,False,none,True
SRR24048108,SRR,True,False,none,True
SRR24048109,SRR,True,False,none,True
SRR24048118,SRR,True,False,none,True
SRR24048125,SRR,True,False,none,True
SRR24048143,SRR,True,False,none,True
SRR24048922,SRR,True,False,none,True
SRR26333221,SRR,True,False,none,True
SRR26333222,SRR,True,False,none,True
SRR26333223,SRR,True,False,none,True
SRR26333224,SRR,True,False,none,True
SRR26333225,SRR,True,False,none,True
SRR26333229,SRR,True,False,none,True
SRR26333230,SRR,True,False,none,True
SRR26333231,SRR,True,False,none,True
SRR26333233,SRR,True,False,none,True
SRR26333234,SRR,True,False,none,True
SRR26333235,SRR,True,False,none,True
SRR26333236,SRR,True,False,none,True
SRR26333237,SRR,True,False,none,True
SRR26333238,SRR,True,False,none,True
SRR26333239,SRR,True,False,none,True
SRR26333240,SRR,True,False,none,True
SRR26333241,SRR,True,False,none,True
SRR26333242,SRR,True,False,none,True
SRR26333243,SRR,True,False,none,True
SRR26333244,SRR,True,False,none,True
SRR26333245,SRR,True,False,none,True
SRR26333246,SRR,True,False,none,True
SRR26333249,SRR,True,False,none,True
SRR26333256,SRR,True,False,none,True
SRR26333260,SRR,True,False,none,True
SRR26333261,SRR,True,False,none,True
SRR26333263,SRR,True,False,none,True
SRR26333264,SRR,True,False,none,True
SRR26333266,SRR,True,False,none,True
SRR26333270,SRR,True,False,none,True
SRR26333271,SRR,True,False,none,True
SRR26333272,SRR,True,False,none,True
SRR26333273,SRR,True,False,none,True
SRR26333274,SRR,True,False,none,True
SRR26333275,SRR,True,False,none,True
SRR26333276,SRR,True,False,none,True
SRR26333277,SRR,True,False,none,True
SRR26333278,SRR,True,False,none,True
SRR26333279,SRR,True,False,none,True
SRR26333280,SRR,True,False,none,True
SRR26333281,SRR,True,False,none,True
SRR26333282,SRR,True,False,none,True
SRR26333283,SRR,True,False,none,True
SRR26333284,SRR,True,False,none,True
SRR26333286,SRR,True,False,none,True
SRR26333291,SRR,True,False,none,True
SRR26333293,SRR,True,False,none,True
SRR26333294,SRR,True,False,none,True
SRR26333297,SRR,True,False,none,True
SRR26333298,SRR,True,False,none,True
SRR26333299,SRR,True,False,none,True
SRR26333305,SRR,True,False,none,True
SRR26333306,SRR,True,False,none,True
SRR32686225,SRR,True,False,none,True
SRR32686228,SRR,True,False,none,True
SRR8762523,SRR,True,False,none,True
SRR8762607,SRR,True,False,none,True
SRR8763049,SRR,True,False,none,True
