sample_id,in_bam_dir,in_sample_list,mismatch
SAMN01136907,False,True,True
SAMN01136947,False,True,True
SAMN01137005,False,True,True
SAMN01137118,False,True,True
SAMN04349058,True,True,False
SAMN04349059,True,True,False
SAMN04349060,True,True,False
SAMN04349061,True,True,False
SAMN04349062,True,True,False
SAMN04349063,True,True,False
SAMN04349064,True,True,False
SAMN04349065,True,True,False
SAMN04349066,True,True,False
SAMN04349067,True,True,False
SAMN04349068,True,True,False
SAMN04349069,True,True,False
SAMN04349070,True,True,False
SAMN04349071,True,True,False
SAMN04349072,True,True,False
SAMN04349073,True,True,False
SAMN04349074,True,True,False
SAMN04349075,True,True,False
SAMN04349076,True,True,False
SAMN04349077,True,True,False
SAMN04349078,True,True,False
SAMN04349079,True,True,False
SAMN04349080,True,True,False
SAMN04349081,True,True,False
SAMN04349082,True,True,False
SAMN04349083,True,True,False
SAMN04349084,True,True,False
SAMN04349085,True,True,False
SAMN04349086,True,True,False
SAMN04349087,True,True,False
SAMN04349088,True,True,False
SAMN04349089,True,True,False
SAMN04349090,True,True,False
SAMN04349091,True,True,False
SAMN04349092,True,True,False
SAMN04349093,True,True,False
SAMN04349094,True,True,False
SAMN04349095,True,True,False
SAMN04349096,True,True,False
SAMN04349097,True,True,False
SAMN04349098,True,True,False
SAMN04349099,True,True,False
SAMN04349100,True,True,False
SAMN04349101,True,True,False
SAMN04349102,True,True,False
SAMN04349103,True,True,False
SAMN04349104,True,True,False
SAMN04372240,True,True,False
SAMN04372241,True,True,False
SAMN04372242,True,True,False
SAMN07246723,True,True,False
SAMN07246724,True,True,False
SAMN07246725,False,True,True
SAMN07246726,False,True,True
SAMN07246727,False,True,True
SAMN07246728,True,True,False
SAMN07246729,True,True,False
SAMN07246730,True,True,False
SAMN07246731,False,True,True
SAMN07246732,True,True,False
SAMN07246733,False,True,True
SAMN07246734,True,True,False
SAMN07246735,True,True,False
SAMN07246736,False,True,True
SAMN07246737,False,True,True
SAMN07246738,True,True,False
SAMN07246739,False,True,True
SAMN07246740,True,True,False
SAMN07246741,False,True,True
SAMN07246742,False,True,True
SAMN07246743,True,True,False
SAMN07246744,False,True,True
SAMN07246745,False,True,True
SAMN07246746,True,True,False
SAMN07246747,True,True,False
SAMN07246748,False,True,True
SAMN07246749,False,True,True
SAMN07246750,False,True,True
SAMN07246751,False,True,True
SAMN07246752,False,True,True
SAMN07246753,False,True,True
SAMN07246754,False,True,True
SAMN07246755,False,True,True
SAMN07246756,False,True,True
SAMN07246757,False,True,True
SAMN07246758,True,True,False
SAMN07246759,True,True,False
SAMN07246760,False,True,True
SAMN07246761,True,True,False
SAMN07246762,False,True,True
SAMN12994619,True,True,False
SAMN12994620,True,True,False
SAMN12994621,True,True,False
SAMN12994622,True,True,False
SAMN12994623,True,True,False
SAMN12994624,True,True,False
SAMN12994625,True,True,False
SAMN12994626,True,True,False
SAMN14327601,False,True,True
SAMN14327803,False,True,True
SAMN14327928,False,True,True
SAMN14328334,False,True,True
SAMN14328648,False,True,True
SAMN20169169,True,True,False
SAMN20169171,True,True,False
SAMN20169173,True,True,False
SAMN20169176,True,True,False
SAMN20169179,True,True,False
SAMN20223881,True,True,False
SAMN20223883,True,True,False
SAMN20223885,True,True,False
SAMN20223887,True,True,False
SAMN20223889,True,True,False
SAMN37353904,False,True,True
SAMN37353905,False,True,True
SAMN37353906,True,True,False
SAMN37353907,True,True,False
SAMN37353908,False,True,True
SAMN37353909,False,True,True
SAMN37353910,True,True,False
SAMN37353911,True,True,False
SAMN37353912,False,True,True
SAMN37353913,True,True,False
SAMN37353914,True,True,False
SAMN37353915,True,True,False
SAMN37353916,True,True,False
SAMN37353917,True,True,False
SAMN37353918,True,True,False
SAMN37353919,True,True,False
SAMN37353920,False,True,True
SAMN37353921,False,True,True
SAMN37353922,True,True,False
SAMN37353923,True,True,False
SAMN41434525,True,True,False
SAMN41434526,True,True,False
SAMN41434527,True,True,False
SAMN41434528,True,True,False
SAMN41434529,True,True,False
SAMN41434530,False,True,True
SAMN41434531,True,True,False
SAMN41434532,True,True,False
SAMN41434533,False,True,True
SAMN41434534,True,True,False
SAMN41434535,False,True,True
SAMN41434536,True,True,False
SAMN43304814,True,True,False
SAMN43304815,True,True,False
SAMN43304816,True,True,False
SAMN43304817,True,True,False
SAMN43304818,True,True,False
SAMN43304819,True,True,False
SAMN43304821,True,True,False
SAMN43304822,False,True,True
SAMN43304824,True,True,False
SAMN43304825,True,True,False
SAMN43304826,False,True,True
SAMN43304827,False,True,True
SAMN43304828,True,True,False
SAMN43304829,True,True,False
SAMN43304830,False,True,True
SAMN43304831,True,True,False
SAMN43304832,True,True,False
SAMN43304833,True,True,False
SAMN43304834,True,True,False
SAMN43304835,True,True,False
SAMN43304836,True,True,False
SAMN43304838,True,True,False
SAMN43304839,True,True,False
SAMN43304840,True,True,False
SAMN44842444,True,True,False
SAMN44842445,True,True,False
SAMN44842446,False,True,True
SAMN44842447,True,True,False
SAMN44842448,True,True,False
SAMN44842449,True,True,False
SAMN44842450,True,True,False
SAMN44842451,True,True,False
SAMN44842452,True,True,False
SAMN44842453,True,True,False
SAMN44842454,True,True,False
SAMN44842455,True,True,False
SAMN44842456,True,True,False
SAMN44842457,True,True,False
SAMN44842458,True,True,False
SAMN44842459,True,True,False
SAMN44842460,True,True,False
SAMN44842461,True,True,False
SAMN44842462,True,True,False
SAMN44842463,True,True,False
SAMN44842464,True,True,False
SAMN44842465,True,True,False
