srr_id,in_sample_list,in_Salivary_SRA,in_any_reference
ERR315325,0,1,1
ERR315382,0,1,1
ERR315418,0,1,1
ERR315420,0,1,1
ERR315449,0,1,1
ERR315459,0,1,1
SRR10246409,1,1,1
SRR10246410,1,1,1
SRR10246411,1,1,1
SRR10246412,1,1,1
SRR10246413,1,1,1
SRR10246414,1,1,1
SRR10246415,1,1,1
SRR10246416,1,1,1
SRR15100667,1,1,1
SRR15100669,1,1,1
SRR15100671,1,1,1
SRR15100673,1,1,1
SRR15100675,1,1,1
SRR15132669,1,1,1
SRR15132671,1,1,1
SRR15132673,1,1,1
SRR15132675,1,1,1
SRR15132677,1,1,1
SRR26033653,1,1,1
SRR26033654,1,1,1
SRR26033655,1,1,1
SRR26033656,1,1,1
SRR26033657,1,1,1
SRR26033658,1,1,1
SRR26033659,0,1,1
SRR26033660,0,1,1
SRR26033661,0,1,1
SRR26033662,0,1,1
SRR26033663,0,1,1
SRR26033664,0,1,1
SRR26033665,0,1,1
SRR26033666,0,1,1
SRR26033667,0,1,1
SRR26033668,0,1,1
SRR26033669,1,1,1
SRR26033670,0,1,1
SRR26033671,0,1,1
SRR26033672,0,1,1
SRR26033673,0,1,1
SRR26033674,0,1,1
SRR26033675,0,1,1
SRR26033676,0,1,1
SRR26033677,0,1,1
SRR26033678,0,1,1
SRR26033679,0,1,1
SRR26033680,1,1,1
SRR26033681,1,1,1
SRR26033682,1,1,1
SRR26033683,1,1,1
SRR26033684,1,1,1
SRR26033685,1,1,1
SRR26033686,1,1,1
SRR26033687,1,1,1
SRR26033688,1,1,1
SRR26033689,1,1,1
SRR26033690,1,1,1
SRR26033691,1,1,1
SRR26033692,1,1,1
SRR29065133,1,1,1
SRR29065134,1,1,1
SRR29065135,1,1,1
SRR29065136,1,1,1
SRR29065137,1,1,1
SRR29065138,1,1,1
SRR29065139,1,1,1
SRR29065140,1,1,1
SRR29065141,1,1,1
SRR29065142,1,1,1
SRR29065143,1,1,1
SRR29065144,1,1,1
SRR3056922,1,1,1
SRR3056923,1,1,1
SRR3056924,1,1,1
SRR30590360,1,1,1
SRR30590362,1,1,1
SRR30590363,1,1,1
SRR30590364,1,1,1
SRR30590365,1,1,1
SRR30590366,1,1,1
SRR30590367,1,1,1
SRR30590368,1,1,1
SRR30590369,1,1,1
SRR30590370,1,1,1
SRR30590371,1,1,1
SRR30590373,1,1,1
SRR30590374,1,1,1
SRR30590375,1,1,1
SRR30590376,1,1,1
SRR30590377,1,1,1
SRR30590378,1,1,1
SRR30590379,1,1,1
SRR30590380,0,1,1
SRR30590381,1,1,1
SRR30590382,1,1,1
SRR30590384,1,1,1
SRR30590385,1,1,1
SRR30590386,1,1,1
SRR30590387,1,1,1
SRR3081601,1,1,1
SRR3081602,1,1,1
SRR3081603,1,1,1
SRR3081604,1,1,1
SRR3081605,1,1,1
SRR3081606,1,1,1
SRR3081607,1,1,1
SRR3081608,1,1,1
SRR3081609,1,1,1
SRR3081610,1,1,1
SRR3081611,1,1,1
SRR3081612,1,1,1
SRR3081613,1,1,1
SRR3081614,1,1,1
SRR3081615,1,1,1
SRR3081616,1,1,1
SRR3081617,1,1,1
SRR3081618,1,1,1
SRR3081619,1,1,1
SRR3081620,1,1,1
SRR3081621,1,1,1
SRR3081622,1,1,1
SRR3081623,1,1,1
SRR3081624,1,1,1
SRR3081625,1,1,1
SRR3081626,1,1,1
SRR3081627,1,1,1
SRR3081628,1,1,1
SRR3081629,1,1,1
SRR3081630,1,1,1
SRR3081631,1,1,1
SRR3081632,1,1,1
SRR3081633,1,1,1
SRR3081634,1,1,1
SRR3081635,1,1,1
SRR3081636,1,1,1
SRR3081637,1,1,1
SRR3081638,1,1,1
SRR3081639,1,1,1
SRR3081640,1,1,1
SRR3081641,1,1,1
SRR3081642,1,1,1
SRR3081643,1,1,1
SRR3081644,1,1,1
SRR3081645,1,1,1
SRR3081646,1,1,1
SRR3081647,1,1,1
SRR31414517,1,1,1
SRR31414518,1,1,1
SRR31414519,1,1,1
SRR31414520,1,1,1
SRR31414521,1,1,1
SRR31414522,1,1,1
SRR31414523,1,1,1
SRR31414524,1,1,1
SRR31414525,1,1,1
SRR31414526,1,1,1
SRR31414527,1,1,1
SRR31414528,1,1,1
SRR31414529,1,1,1
SRR31414530,1,1,1
SRR31414531,1,1,1
SRR31414532,1,1,1
SRR31414533,1,1,1
SRR31414534,1,1,1
SRR31414535,1,1,1
SRR31414536,1,1,1
SRR31414537,1,1,1
SRR31414538,1,1,1
SRR5685238,1,1,1
SRR5685239,1,1,1
SRR5685240,1,1,1
SRR5685241,1,1,1
SRR5685242,1,1,1
SRR5685243,1,1,1
SRR5685244,1,1,1
SRR5685245,1,1,1
SRR5685246,1,1,1
SRR5685247,1,1,1
SRR5685248,1,1,1
SRR5685249,1,1,1
SRR5685250,1,1,1
SRR5685251,1,1,1
SRR5685252,1,1,1
SRR5685253,1,1,1
SRR5685254,1,1,1
SRR5685255,1,1,1
SRR5685256,1,1,1
SRR5685257,1,1,1
SRR5685258,1,1,1
SRR5685259,1,1,1
SRR5685260,1,1,1
SRR5685263,1,1,1
SRR5685271,1,1,1
SRR5685272,1,1,1
SRR5685273,1,1,1
SRR5685274,1,1,1
SRR5685275,1,1,1
SRR5685276,1,1,1
SRR5685277,1,1,1
SRR5685278,1,1,1
SRR5685279,1,1,1
SRR5685280,1,1,1
SRR5685281,1,1,1
SRR5685292,1,1,1
SRR5685296,1,1,1
SRR5685299,1,1,1
SRR5685300,1,1,1
SRR5685301,1,1,1
SRR587175,1,1,1
SRR587176,1,1,1
SRR587177,1,1,1
SRR587178,1,1,1
SRR8762170,1,1,1
SRR8764040,1,1,1
SRR8764067,1,1,1
SRR9304319,1,1,1
SRR9304406,1,1,1
