sample_id,srr_ids,r1_list,r2_list
SAMEA1968832,"ERR315420,ERR315459","ERR315420_1.fastq.gz,ERR315459_1.fastq.gz",NA
SAMEA2150585,"ERR315418,ERR315449","ERR315418_1.fastq.gz,ERR315449_1.fastq.gz",NA
SAMEA2151887,"ERR315325,ERR315382","ERR315325_1.fastq.gz,ERR315382_1.fastq.gz",NA
SAMN37353924,SRR26033679,SRR26033679_1.fastq.gz,SRR26033679_2.fastq.gz
SAMN37353925,SRR26033678,SRR26033678_1.fastq.gz,SRR26033678_2.fastq.gz
SAMN37353926,SRR26033677,SRR26033677_1.fastq.gz,SRR26033677_2.fastq.gz
SAMN37353927,SRR26033676,SRR26033676_1.fastq.gz,SRR26033676_2.fastq.gz
SAMN37353928,SRR26033675,SRR26033675_1.fastq.gz,SRR26033675_2.fastq.gz
SAMN37353929,SRR26033674,SRR26033674_1.fastq.gz,SRR26033674_2.fastq.gz
SAMN37353930,SRR26033673,SRR26033673_1.fastq.gz,SRR26033673_2.fastq.gz
SAMN37353931,SRR26033672,SRR26033672_1.fastq.gz,SRR26033672_2.fastq.gz
SAMN37353932,SRR26033671,SRR26033671_1.fastq.gz,SRR26033671_2.fastq.gz
SAMN37353933,SRR26033670,SRR26033670_1.fastq.gz,SRR26033670_2.fastq.gz
SAMN37353934,SRR26033668,SRR26033668_1.fastq.gz,SRR26033668_2.fastq.gz
SAMN37353935,SRR26033667,SRR26033667_1.fastq.gz,SRR26033667_2.fastq.gz
SAMN37353936,SRR26033666,SRR26033666_1.fastq.gz,SRR26033666_2.fastq.gz
SAMN37353937,SRR26033665,SRR26033665_1.fastq.gz,SRR26033665_2.fastq.gz
SAMN37353938,SRR26033664,SRR26033664_1.fastq.gz,SRR26033664_2.fastq.gz
SAMN37353939,SRR26033663,SRR26033663_1.fastq.gz,SRR26033663_2.fastq.gz
SAMN37353940,SRR26033662,SRR26033662_1.fastq.gz,SRR26033662_2.fastq.gz
SAMN37353941,SRR26033661,SRR26033661_1.fastq.gz,SRR26033661_2.fastq.gz
SAMN37353942,SRR26033660,SRR26033660_1.fastq.gz,SRR26033660_2.fastq.gz
SAMN37353943,SRR26033659,SRR26033659_1.fastq.gz,SRR26033659_2.fastq.gz
SAMN43304820,SRR30590380,SRR30590380_1.fastq.gz,SRR30590380_2.fastq.gz
