SAMN43304835	SRR30590365_1.fastq.gz	SRR30590365_2.fastq.gz
SAMN43304829	SRR30590371_1.fastq.gz	SRR30590371_2.fastq.gz
SAMN20169179	SRR15100667_1.fastq.gz	SRR15100667_2.fastq.gz
SAMN20169176	SRR15100669_1.fastq.gz	SRR15100669_2.fastq.gz
SAMN20169173	SRR15100671_1.fastq.gz	SRR15100671_2.fastq.gz
SAMN20169171	SRR15100673_1.fastq.gz	SRR15100673_2.fastq.gz
SAMN20169169	SRR15100675_1.fastq.gz	SRR15100675_2.fastq.gz
SAMN41434530	SRR29065137_1.fastq.gz	SRR29065137_2.fastq.gz
SAMN41434525	SRR29065144_1.fastq.gz	SRR29065144_2.fastq.gz
SAMN41434534	SRR29065133_1.fastq.gz	SRR29065133_2.fastq.gz
SAMN41434533	SRR29065134_1.fastq.gz	SRR29065134_2.fastq.gz
SAMN41434531	SRR29065136_1.fastq.gz	SRR29065136_2.fastq.gz
SAMN41434529	SRR29065138_1.fastq.gz	SRR29065138_2.fastq.gz
SAMN41434536	SRR29065141_1.fastq.gz	SRR29065141_2.fastq.gz
SAMN41434535	SRR29065142_1.fastq.gz	SRR29065142_2.fastq.gz
SAMN41434526	SRR29065143_1.fastq.gz	SRR29065143_2.fastq.gz
SAMN41434532	SRR29065135_1.fastq.gz	SRR29065135_2.fastq.gz
SAMN41434527	SRR29065140_1.fastq.gz	SRR29065140_2.fastq.gz
SAMN43304833	SRR30590367_1.fastq.gz	SRR30590367_2.fastq.gz
SAMN43304825	SRR30590376_1.fastq.gz	SRR30590376_2.fastq.gz
SAMN43304817	SRR30590387_1.fastq.gz	SRR30590387_2.fastq.gz
SAMN43304828	SRR30590373_1.fastq.gz	SRR30590373_2.fastq.gz
SAMN43304821	SRR30590379_1.fastq.gz	SRR30590379_2.fastq.gz
SAMN43304815	SRR30590385_1.fastq.gz	SRR30590385_2.fastq.gz
SAMN41434528	SRR29065139_1.fastq.gz	SRR29065139_2.fastq.gz
SAMN43304836	SRR30590364_1.fastq.gz	SRR30590364_2.fastq.gz
SAMN43304834	SRR30590366_1.fastq.gz	SRR30590366_2.fastq.gz
SAMN43304831	SRR30590369_1.fastq.gz	SRR30590369_2.fastq.gz
SAMN43304830	SRR30590370_1.fastq.gz	SRR30590370_2.fastq.gz
SAMN43304827	SRR30590374_1.fastq.gz	SRR30590374_2.fastq.gz
SAMN43304824	SRR30590377_1.fastq.gz	SRR30590377_2.fastq.gz
SAMN43304822	SRR30590378_1.fastq.gz	SRR30590378_2.fastq.gz
SAMN43304816	SRR30590384_1.fastq.gz	SRR30590384_2.fastq.gz
SAMN43304814	SRR30590386_1.fastq.gz	SRR30590386_2.fastq.gz
SAMN43304840	SRR30590360_1.fastq.gz	SRR30590360_2.fastq.gz
SAMN44842444	SRR31414517_1.fastq.gz	SRR31414517_2.fastq.gz
SAMN44842445	SRR31414518_1.fastq.gz	SRR31414518_2.fastq.gz
SAMN44842446	SRR31414519_1.fastq.gz	SRR31414519_2.fastq.gz
SAMN44842447	SRR31414520_1.fastq.gz	SRR31414520_2.fastq.gz
SAMN44842448	SRR31414521_1.fastq.gz	SRR31414521_2.fastq.gz
SAMN44842449	SRR31414522_1.fastq.gz	SRR31414522_2.fastq.gz
SAMN44842450	SRR31414523_1.fastq.gz	SRR31414523_2.fastq.gz
SAMN44842451	SRR31414524_1.fastq.gz	SRR31414524_2.fastq.gz
SAMN44842452	SRR31414525_1.fastq.gz	SRR31414525_2.fastq.gz
SAMN44842453	SRR31414526_1.fastq.gz	SRR31414526_2.fastq.gz
SAMN44842454	SRR31414527_1.fastq.gz	SRR31414527_2.fastq.gz
SAMN44842455	SRR31414528_1.fastq.gz	SRR31414528_2.fastq.gz
SAMN44842456	SRR31414529_1.fastq.gz	SRR31414529_2.fastq.gz
SAMN44842457	SRR31414530_1.fastq.gz	SRR31414530_2.fastq.gz
SAMN44842458	SRR31414531_1.fastq.gz	SRR31414531_2.fastq.gz
SAMN44842459	SRR31414532_1.fastq.gz	SRR31414532_2.fastq.gz
