SAMN39624262	SRR27747551_1.fastq.gz	SRR27747551_2.fastq.gz
SAMN39624264	SRR27747553_1.fastq.gz	SRR27747553_2.fastq.gz
SAMN39624267	SRR27747556_1.fastq.gz	SRR27747556_2.fastq.gz
SAMN39624271	SRR27747560_1.fastq.gz	SRR27747560_2.fastq.gz
SAMN39624273	SRR27747562_1.fastq.gz	SRR27747562_2.fastq.gz
SAMN39624274	SRR27747563_1.fastq.gz	SRR27747563_2.fastq.gz
SAMN39624276	SRR27747565_1.fastq.gz	SRR27747565_2.fastq.gz
SAMN39624277	SRR27747566_1.fastq.gz	SRR27747566_2.fastq.gz
SAMN39624283	SRR27747572_1.fastq.gz	SRR27747572_2.fastq.gz
SAMN39624290	SRR27747579_1.fastq.gz	SRR27747579_2.fastq.gz
SAMN39624293	SRR27747582_1.fastq.gz	SRR27747582_2.fastq.gz
SAMN39624297	SRR27747586_1.fastq.gz	SRR27747586_2.fastq.gz
SAMN39624300	SRR27747589_1.fastq.gz	SRR27747589_2.fastq.gz
SAMN39624238	SRR27747598_1.fastq.gz	SRR27747598_2.fastq.gz
SAMN39624240	SRR27747600_1.fastq.gz	SRR27747600_2.fastq.gz
SAMN39624242	SRR27747602_1.fastq.gz	SRR27747602_2.fastq.gz
SAMN39624247	SRR27747607_1.fastq.gz	SRR27747607_2.fastq.gz
SAMN39624249	SRR27747609_1.fastq.gz	SRR27747609_2.fastq.gz
SAMN39624250	SRR27747610_1.fastq.gz	SRR27747610_2.fastq.gz
SAMN39624309	SRR27747621_1.fastq.gz	SRR27747621_2.fastq.gz
SAMN39624313	SRR27747625_1.fastq.gz	SRR27747625_2.fastq.gz
SAMN39624314	SRR27747626_1.fastq.gz	SRR27747626_2.fastq.gz
SAMN39624318	SRR27747630_1.fastq.gz	SRR27747630_2.fastq.gz
SAMN39624323	SRR27747635_1.fastq.gz	SRR27747635_2.fastq.gz
SAMN39624254	SRR27747543_1.fastq.gz	SRR27747543_2.fastq.gz
SAMN39624255	SRR27747544_1.fastq.gz	SRR27747544_2.fastq.gz
SAMN39624258	SRR27747547_1.fastq.gz	SRR27747547_2.fastq.gz
SAMN39624260	SRR27747549_1.fastq.gz	SRR27747549_2.fastq.gz
SAMN39624261	SRR27747550_1.fastq.gz	SRR27747550_2.fastq.gz
SAMN39624263	SRR27747552_1.fastq.gz	SRR27747552_2.fastq.gz
SAMN39624265	SRR27747554_1.fastq.gz	SRR27747554_2.fastq.gz
SAMN39624270	SRR27747559_1.fastq.gz	SRR27747559_2.fastq.gz
SAMN39624279	SRR27747568_1.fastq.gz	SRR27747568_2.fastq.gz
SAMN39624282	SRR27747571_1.fastq.gz	SRR27747571_2.fastq.gz
SAMN39624284	SRR27747573_1.fastq.gz	SRR27747573_2.fastq.gz
SAMN39624286	SRR27747575_1.fastq.gz	SRR27747575_2.fastq.gz
SAMN39624288	SRR27747577_1.fastq.gz	SRR27747577_2.fastq.gz
SAMN39624289	SRR27747578_1.fastq.gz	SRR27747578_2.fastq.gz
SAMN39624291	SRR27747580_1.fastq.gz	SRR27747580_2.fastq.gz
SAMN39624295	SRR27747584_1.fastq.gz	SRR27747584_2.fastq.gz
SAMN39624299	SRR27747588_1.fastq.gz	SRR27747588_2.fastq.gz
