sample_id,in_bam_dir,in_sample_list,mismatch
SAMEA9088892,True,True,False
SAMEA9088893,True,True,False
SAMEA9088894,True,True,False
SAMEA9088895,True,True,False
SAMEA9088896,True,True,False
SAMEA9088897,True,True,False
SAMEA9088898,True,True,False
SAMEA9088899,False,True,True
SAMEA9088900,False,True,True
SAMEA9088901,True,True,False
SAMEA9088902,True,True,False
SAMEA9088913,False,True,True
SAMEA9088914,False,True,True
SAMEA9088915,False,True,True
SAMEA9088916,False,True,True
SAMEA9088917,False,True,True
SAMEA9088919,False,True,True
SAMEA9088920,True,True,False
SAMEA9088921,True,True,False
SAMEA9088922,True,True,False
SAMEA9088923,True,True,False
SAMEA9088924,True,True,False
SAMEA9088925,True,True,False
SAMEA9088926,True,True,False
SAMEA9088927,True,True,False
SAMEA9088928,True,True,False
SAMEA9088929,True,True,False
SAMN04306172,True,True,False
SAMN14328896,False,True,True
SAMN17847873,False,True,True
SAMN17847877,False,True,True
SAMN17847881,False,True,True
SAMN17847883,False,True,True
SAMN17847886,False,True,True
SAMN17847889,False,True,True
SAMN17847892,False,True,True
SAMN17847894,False,True,True
SAMN17847900,False,True,True
SAMN17847902,False,True,True
SAMN17847907,False,True,True
SAMN17847916,False,True,True
SAMN17847917,False,True,True
SAMN17847918,False,True,True
SAMN17847920,False,True,True
SAMN17847921,False,True,True
SAMN17847922,False,True,True
SAMN17847929,False,True,True
SAMN17847933,False,True,True
SAMN17847935,False,True,True
SAMN17847937,False,True,True
SAMN17847938,False,True,True
SAMN17847941,False,True,True
SAMN17847942,False,True,True
SAMN17847944,False,True,True
SAMN17847946,False,True,True
SAMN17847947,False,True,True
SAMN17847950,False,True,True
SAMN17847951,False,True,True
SAMN17847952,False,True,True
SAMN18140851,False,True,True
SAMN18140853,True,True,False
SAMN18140855,False,True,True
SAMN18140858,True,True,False
SAMN18140859,True,True,False
SAMN18140861,True,True,False
SAMN18140863,True,True,False
SAMN18140865,True,True,False
SAMN18140866,True,True,False
SAMN18140868,True,True,False
SAMN18140869,True,True,False
SAMN18140870,True,True,False
SAMN42203629,False,True,True
SAMN42203632,False,True,True
SAMN42203635,False,True,True
SAMN42203638,False,True,True
SAMN42203639,False,True,True
SAMN42203640,False,True,True
SAMN42203641,False,True,True
SAMN43231945,False,True,True
SAMN43231951,False,True,True
SAMN43231955,False,True,True
SAMN43231964,False,True,True
SAMN43231968,False,True,True
SAMN43231971,False,True,True
SAMN43231976,False,True,True
SAMN43231978,False,True,True
SAMN43231984,False,True,True
SAMN43231986,False,True,True
SAMN43231989,False,True,True
SAMN43231995,False,True,True
SAMN43232001,False,True,True
SAMN43232009,False,True,True
SAMN43232012,False,True,True
SAMN43232016,False,True,True
SAMN43232020,False,True,True
SAMN43232026,False,True,True
SAMN43232028,False,True,True
SAMN43232032,False,True,True
SAMN43232035,False,True,True
SAMN43232036,False,True,True
SAMN43232047,False,True,True
SAMN43232053,False,True,True
SAMN43232055,False,True,True
