srr_id,in_sample_list,in_SmallCellLung_SRA,in_any_reference
ERR4190194,0,1,1
ERR4190212,0,1,1
ERR4190213,0,1,1
ERR4190364,0,1,1
ERR4230614,0,1,1
ERR4230641,0,1,1
ERR5992779,1,1,1
ERR5992780,1,1,1
ERR5992781,1,1,1
ERR5992782,1,1,1
ERR5992783,1,1,1
ERR5992784,1,1,1
ERR5992785,1,1,1
ERR5992786,1,1,1
ERR5992787,1,1,1
ERR5992788,1,1,1
ERR5992789,1,1,1
ERR5992800,1,1,1
ERR5992801,1,1,1
ERR5992802,1,1,1
ERR5992803,1,1,1
ERR5992804,1,1,1
ERR5992805,1,1,1
ERR5992806,1,1,1
ERR5992807,1,1,1
ERR5992808,1,1,1
ERR5992809,1,1,1
ERR5992810,1,1,1
ERR5992811,1,1,1
ERR5992812,1,1,1
ERR5992813,1,1,1
ERR5992814,1,1,1
ERR5992815,1,1,1
SRR1236280,0,1,1
SRR13342017,0,1,1
SRR13342018,0,1,1
SRR13342019,0,1,1
SRR13342020,0,1,1
SRR13342021,0,1,1
SRR13342022,0,1,1
SRR13342023,0,1,1
SRR13342024,0,1,1
SRR13780246,1,1,1
SRR13780247,1,1,1
SRR13780248,1,1,1
SRR13780249,1,1,1
SRR13780250,1,1,1
SRR13780251,1,1,1
SRR13780252,1,1,1
SRR13780253,1,1,1
SRR13780254,1,1,1
SRR13780255,1,1,1
SRR13780256,1,1,1
SRR13780257,1,1,1
SRR13780258,1,1,1
SRR13780259,1,1,1
SRR13780260,1,1,1
SRR13780261,1,1,1
SRR13780262,1,1,1
SRR13780263,1,1,1
SRR13780264,1,1,1
SRR13780265,1,1,1
SRR13780266,1,1,1
SRR13780267,1,1,1
SRR13780268,1,1,1
SRR13780269,1,1,1
SRR13780270,1,1,1
SRR13780271,1,1,1
SRR13780272,1,1,1
SRR13780273,1,1,1
SRR13780274,1,1,1
SRR13780275,0,1,1
SRR13780276,0,1,1
SRR13780277,0,1,1
SRR13780278,0,1,1
SRR13780279,0,1,1
SRR13780280,0,1,1
SRR13780281,0,1,1
SRR13780282,0,1,1
SRR13780283,0,1,1
SRR13780284,0,1,1
SRR13780285,0,1,1
SRR13780286,0,1,1
SRR13780287,0,1,1
SRR13780288,0,1,1
SRR13780289,0,1,1
SRR13780290,0,1,1
SRR13780291,1,1,1
SRR13858949,1,1,1
SRR13858950,1,1,1
SRR13858951,1,1,1
SRR13858952,1,1,1
SRR13858953,1,1,1
SRR13858954,1,1,1
SRR13858955,1,1,1
SRR13858956,1,1,1
SRR13858957,1,1,1
SRR13858958,1,1,1
SRR13858959,1,1,1
SRR13858960,1,1,1
SRR13860149,0,1,1
SRR13860150,0,1,1
SRR13860151,0,1,1
SRR13860152,0,1,1
SRR16975605,0,1,1
SRR16975617,0,1,1
SRR16975618,0,1,1
SRR16975645,0,1,1
SRR16975648,0,1,1
SRR16975651,0,1,1
SRR17551568,0,1,1
SRR17551569,0,1,1
SRR17551570,0,1,1
SRR17551571,0,1,1
SRR17551572,0,1,1
SRR17551577,0,1,1
SRR17551580,0,1,1
SRR17551583,0,1,1
SRR1798897,0,1,1
SRR25294043,0,1,1
SRR25294044,0,1,1
SRR25837441,0,1,1
SRR25837442,0,1,1
SRR25837443,0,1,1
SRR25837444,0,1,1
SRR25837445,0,1,1
SRR25837446,0,1,1
SRR25837447,0,1,1
SRR25837448,0,1,1
SRR25837449,0,1,1
SRR25837450,0,1,1
SRR25837451,0,1,1
SRR25837452,0,1,1
SRR25837453,0,1,1
SRR25837454,0,1,1
SRR25837455,0,1,1
SRR25837456,0,1,1
SRR25837457,0,1,1
SRR25837458,0,1,1
SRR25837459,0,1,1
SRR25837460,0,1,1
SRR25837461,0,1,1
SRR25837462,0,1,1
SRR25837463,0,1,1
SRR25837464,0,1,1
SRR25837465,0,1,1
SRR25837466,0,1,1
SRR25837467,0,1,1
SRR25837468,0,1,1
SRR25837469,0,1,1
SRR25837470,0,1,1
SRR25837471,0,1,1
SRR25837472,0,1,1
SRR25837473,0,1,1
SRR25837474,0,1,1
SRR25837475,0,1,1
SRR25837476,0,1,1
SRR25837477,0,1,1
SRR25837478,0,1,1
SRR25837479,0,1,1
SRR25837480,0,1,1
SRR25837481,0,1,1
SRR25837482,0,1,1
SRR25837483,0,1,1
SRR25837484,0,1,1
SRR25837485,0,1,1
SRR25837486,0,1,1
SRR25837487,0,1,1
SRR25837488,0,1,1
SRR25837489,0,1,1
SRR25837490,0,1,1
SRR25837491,0,1,1
SRR25837492,0,1,1
SRR25837493,0,1,1
SRR25837494,0,1,1
SRR25837495,0,1,1
SRR25837496,0,1,1
SRR25837497,0,1,1
SRR25837498,0,1,1
SRR25837499,0,1,1
SRR25837500,0,1,1
SRR25837501,0,1,1
SRR25837502,0,1,1
SRR25837503,0,1,1
SRR25837504,0,1,1
SRR25837505,0,1,1
SRR25837506,0,1,1
SRR25837507,0,1,1
SRR25837508,0,1,1
SRR25837509,0,1,1
SRR25837510,0,1,1
SRR30228494,1,1,1
SRR30228496,1,1,1
SRR30228498,1,1,1
SRR30228500,1,1,1
SRR30228501,1,1,1
SRR30228503,1,1,1
SRR30228538,1,1,1
SRR30544481,1,1,1
SRR30544484,1,1,1
SRR30544487,1,1,1
SRR30544490,1,1,1
SRR30544493,1,1,1
SRR30544496,1,1,1
SRR30544499,1,1,1
SRR30544502,1,1,1
SRR30544504,1,1,1
SRR30544507,1,1,1
SRR30544509,1,1,1
SRR30544513,1,1,1
SRR30544515,1,1,1
SRR30544518,1,1,1
SRR30544520,1,1,1
SRR30544523,1,1,1
SRR30544526,1,1,1
SRR30544528,1,1,1
SRR30544533,1,1,1
SRR30544535,1,1,1
SRR30544538,1,1,1
SRR30544543,1,1,1
SRR30544546,1,1,1
SRR30544583,1,1,1
SRR30544585,1,1,1
SRR3214894,1,1,1
SRR8762341,1,1,1
