id,id_type,in_logs,in_sample_list,location,mismatch
ERR4190194,ERR,True,False,none,True
ERR4190212,ERR,True,False,none,True
ERR4190213,ERR,True,False,none,True
ERR4190364,ERR,True,False,none,True
ERR4230614,ERR,True,False,none,True
ERR4230641,ERR,True,False,none,True
ERR5992779,ERR,True,False,none,True
ERR5992780,ERR,True,False,none,True
ERR5992781,ERR,True,False,none,True
ERR5992782,ERR,True,False,none,True
ERR5992783,ERR,True,False,none,True
ERR5992784,ERR,True,False,none,True
ERR5992785,ERR,True,False,none,True
ERR5992786,ERR,True,False,none,True
ERR5992787,ERR,True,False,none,True
ERR5992788,ERR,True,False,none,True
ERR5992789,ERR,True,False,none,True
ERR5992800,ERR,True,False,none,True
ERR5992801,ERR,True,False,none,True
ERR5992802,ERR,True,False,none,True
ERR5992803,ERR,True,False,none,True
ERR5992804,ERR,True,False,none,True
ERR5992805,ERR,True,False,none,True
ERR5992806,ERR,True,False,none,True
ERR5992807,ERR,True,False,none,True
ERR5992808,ERR,True,False,none,True
ERR5992809,ERR,True,False,none,True
ERR5992810,ERR,True,False,none,True
ERR5992811,ERR,True,False,none,True
ERR5992812,ERR,True,False,none,True
ERR5992813,ERR,True,False,none,True
ERR5992814,ERR,True,False,none,True
ERR5992815,ERR,True,False,none,True
SAMEA9088892,SAMEA,True,True,first_column,False
SAMEA9088893,SAMEA,True,True,first_column,False
SAMEA9088894,SAMEA,True,True,first_column,False
SAMEA9088895,SAMEA,True,True,first_column,False
SAMEA9088896,SAMEA,True,True,first_column,False
SAMEA9088897,SAMEA,True,True,first_column,False
SAMEA9088898,SAMEA,True,True,first_column,False
SAMEA9088899,SAMEA,True,True,first_column,False
SAMEA9088900,SAMEA,True,True,first_column,False
SAMEA9088901,SAMEA,True,True,first_column,False
SAMEA9088902,SAMEA,True,True,first_column,False
SAMEA9088913,SAMEA,True,True,first_column,False
SAMEA9088914,SAMEA,True,True,first_column,False
SAMEA9088915,SAMEA,True,True,first_column,False
SAMEA9088916,SAMEA,True,True,first_column,False
SAMEA9088917,SAMEA,True,True,first_column,False
SAMEA9088919,SAMEA,True,True,first_column,False
SAMEA9088920,SAMEA,True,True,first_column,False
SAMEA9088921,SAMEA,True,True,first_column,False
SAMEA9088922,SAMEA,True,True,first_column,False
SAMEA9088923,SAMEA,True,True,first_column,False
SAMEA9088924,SAMEA,True,True,first_column,False
SAMEA9088925,SAMEA,True,True,first_column,False
SAMEA9088926,SAMEA,True,True,first_column,False
SAMEA9088927,SAMEA,True,True,first_column,False
SAMEA9088928,SAMEA,True,True,first_column,False
SAMEA9088929,SAMEA,True,True,first_column,False
SAMN04306172,SAMN,True,True,first_column,False
SAMN14328896,SAMN,True,True,first_column,False
SAMN17847873,SAMN,True,True,first_column,False
SAMN17847877,SAMN,True,True,first_column,False
SAMN17847881,SAMN,True,True,first_column,False
SAMN17847883,SAMN,True,True,first_column,False
SAMN17847886,SAMN,True,True,first_column,False
SAMN17847889,SAMN,True,True,first_column,False
SAMN17847892,SAMN,True,True,first_column,False
SAMN17847894,SAMN,True,True,first_column,False
SAMN17847900,SAMN,True,True,first_column,False
SAMN17847902,SAMN,True,True,first_column,False
SAMN17847907,SAMN,True,True,first_column,False
SAMN17847916,SAMN,True,True,first_column,False
SAMN17847917,SAMN,True,True,first_column,False
SAMN17847918,SAMN,True,True,first_column,False
SAMN17847920,SAMN,True,True,first_column,False
SAMN17847921,SAMN,True,True,first_column,False
SAMN17847922,SAMN,True,True,first_column,False
SAMN17847929,SAMN,True,True,first_column,False
SAMN17847933,SAMN,True,True,first_column,False
SAMN17847935,SAMN,True,True,first_column,False
SAMN17847937,SAMN,True,True,first_column,False
SAMN17847938,SAMN,True,True,first_column,False
SAMN17847941,SAMN,True,True,first_column,False
SAMN17847942,SAMN,True,True,first_column,False
SAMN17847944,SAMN,True,True,first_column,False
SAMN17847946,SAMN,True,True,first_column,False
SAMN17847947,SAMN,True,True,first_column,False
SAMN17847950,SAMN,True,True,first_column,False
SAMN17847951,SAMN,True,True,first_column,False
SAMN17847952,SAMN,True,True,first_column,False
SAMN18140851,SAMN,True,True,first_column,False
SAMN18140853,SAMN,True,True,first_column,False
SAMN18140855,SAMN,True,True,first_column,False
SAMN18140858,SAMN,True,True,first_column,False
SAMN18140859,SAMN,True,True,first_column,False
SAMN18140861,SAMN,True,True,first_column,False
SAMN18140863,SAMN,True,True,first_column,False
SAMN18140865,SAMN,True,True,first_column,False
SAMN18140866,SAMN,True,True,first_column,False
SAMN18140868,SAMN,True,True,first_column,False
SAMN18140869,SAMN,True,True,first_column,False
SAMN18140870,SAMN,True,True,first_column,False
SAMN42203629,SAMN,True,True,first_column,False
SAMN42203632,SAMN,True,True,first_column,False
SAMN42203635,SAMN,True,True,first_column,False
SAMN42203638,SAMN,True,True,first_column,False
SAMN42203639,SAMN,True,True,first_column,False
SAMN42203640,SAMN,True,True,first_column,False
SAMN42203641,SAMN,True,True,first_column,False
SAMN43231945,SAMN,True,True,first_column,False
SAMN43231951,SAMN,True,True,first_column,False
SAMN43231955,SAMN,True,True,first_column,False
SAMN43231964,SAMN,True,True,first_column,False
SAMN43231968,SAMN,True,True,first_column,False
SAMN43231971,SAMN,True,True,first_column,False
SAMN43231976,SAMN,True,True,first_column,False
SAMN43231978,SAMN,True,True,first_column,False
SAMN43231984,SAMN,True,True,first_column,False
