sample_id,srr_ids,r1_list,r2_list
SAMEA6871065,ERR4190194,ERR4190194_1.fastq.gz,ERR4190194_2.fastq.gz
SAMEA6871083,ERR4190212,ERR4190212_1.fastq.gz,ERR4190212_2.fastq.gz
SAMEA6871084,ERR4190213,ERR4190213_1.fastq.gz,ERR4190213_2.fastq.gz
SAMEA6871236,ERR4190364,ERR4190364_1.fastq.gz,ERR4190364_2.fastq.gz
SAMEA6941693,ERR4230614,ERR4230614_1.fastq.gz,ERR4230614_2.fastq.gz
SAMEA6941720,ERR4230641,ERR4230641_1.fastq.gz,ERR4230641_2.fastq.gz
SAMN02055705,"SRR1236280,SRR1798897","SRR1236280_1.fastq.gz,SRR1798897_1.fastq.gz",NA
SAMN17203031,"SRR13342017,SRR13342018,SRR13342019,SRR13342020,SRR13342021,SRR13342022,SRR13342023,SRR13342024","SRR13342017_1.fastq.gz,SRR13342018_1.fastq.gz,SRR13342019_1.fastq.gz,SRR13342020_1.fastq.gz,SRR13342021_1.fastq.gz,SRR13342022_1.fastq.gz,SRR13342023_1.fastq.gz,SRR13342024_1.fastq.gz","SRR13342017_2.fastq.gz,SRR13342018_2.fastq.gz,SRR13342019_2.fastq.gz,SRR13342020_2.fastq.gz,SRR13342021_2.fastq.gz,SRR13342022_2.fastq.gz,SRR13342023_2.fastq.gz,SRR13342024_2.fastq.gz"
SAMN17847874,SRR13780282,SRR13780282_1.fastq.gz,NA
SAMN17847882,SRR13780286,SRR13780286_1.fastq.gz,NA
SAMN17847888,SRR13780288,SRR13780288_1.fastq.gz,NA
SAMN17847891,SRR13780275,SRR13780275_1.fastq.gz,NA
SAMN17847898,SRR13780276,SRR13780276_1.fastq.gz,NA
SAMN17847905,SRR13780290,SRR13780290_1.fastq.gz,NA
SAMN17847908,SRR13780281,SRR13780281_1.fastq.gz,NA
SAMN17847909,SRR13780279,SRR13780279_1.fastq.gz,NA
SAMN17847912,SRR13780280,SRR13780280_1.fastq.gz,NA
SAMN17847919,SRR13780278,SRR13780278_1.fastq.gz,NA
SAMN17847926,SRR13780284,SRR13780284_1.fastq.gz,NA
SAMN17847927,SRR13780283,SRR13780283_1.fastq.gz,NA
SAMN17847930,SRR13780285,SRR13780285_1.fastq.gz,NA
SAMN17847939,SRR13780289,SRR13780289_1.fastq.gz,NA
SAMN17847948,SRR13780287,SRR13780287_1.fastq.gz,NA
SAMN17847949,SRR13780277,SRR13780277_1.fastq.gz,NA
SAMN18143377,SRR13860151,SRR13860151_1.fastq.gz,SRR13860151_2.fastq.gz
SAMN18143378,SRR13860150,SRR13860150_1.fastq.gz,SRR13860150_2.fastq.gz
SAMN18143379,SRR13860149,SRR13860149_1.fastq.gz,SRR13860149_2.fastq.gz
SAMN18143398,SRR13860152,SRR13860152_1.fastq.gz,SRR13860152_2.fastq.gz
SAMN20392124,SRR16975618,SRR16975618_1.fastq.gz,NA
SAMN20392140,SRR16975651,SRR16975651_1.fastq.gz,NA
SAMN20392181,SRR16975605,SRR16975605_1.fastq.gz,NA
SAMN20392227,SRR16975617,SRR16975617_1.fastq.gz,NA
SAMN20392256,SRR16975645,SRR16975645_1.fastq.gz,NA
SAMN20392275,SRR16975648,SRR16975648_1.fastq.gz,NA
SAMN24838613,SRR17551577,SRR17551577_1.fastq.gz,SRR17551577_2.fastq.gz
SAMN24838614,SRR17551568,SRR17551568_1.fastq.gz,SRR17551568_2.fastq.gz
SAMN24838615,SRR17551569,SRR17551569_1.fastq.gz,SRR17551569_2.fastq.gz
SAMN24838616,SRR17551580,SRR17551580_1.fastq.gz,SRR17551580_2.fastq.gz
SAMN24838617,SRR17551570,SRR17551570_1.fastq.gz,SRR17551570_2.fastq.gz
SAMN24838618,SRR17551571,SRR17551571_1.fastq.gz,SRR17551571_2.fastq.gz
SAMN24838619,SRR17551583,SRR17551583_1.fastq.gz,SRR17551583_2.fastq.gz
SAMN24838620,SRR17551572,SRR17551572_1.fastq.gz,SRR17551572_2.fastq.gz
SAMN33179714,SRR25837501,SRR25837501_1.fastq.gz,NA
SAMN33179715,SRR25837441,SRR25837441_1.fastq.gz,NA
SAMN33179716,SRR25837459,SRR25837459_1.fastq.gz,NA
SAMN33179717,SRR25837473,SRR25837473_1.fastq.gz,NA
SAMN33179718,SRR25837505,SRR25837505_1.fastq.gz,NA
SAMN33179719,SRR25837489,SRR25837489_1.fastq.gz,NA
SAMN33179720,SRR25837451,SRR25837451_1.fastq.gz,NA
SAMN33179721,SRR25837464,SRR25837464_1.fastq.gz,NA
SAMN33179723,SRR25837479,SRR25837479_1.fastq.gz,NA
SAMN33179724,SRR25837465,SRR25837465_1.fastq.gz,NA
SAMN33179725,SRR25837500,SRR25837500_1.fastq.gz,NA
SAMN33179726,SRR25837506,SRR25837506_1.fastq.gz,NA
SAMN33179727,SRR25837450,SRR25837450_1.fastq.gz,NA
SAMN33179728,SRR25837446,SRR25837446_1.fastq.gz,NA
SAMN33179729,SRR25837510,SRR25837510_1.fastq.gz,NA
SAMN33179730,SRR25837490,SRR25837490_1.fastq.gz,NA
SAMN33179731,SRR25837477,SRR25837477_1.fastq.gz,NA
SAMN33179732,SRR25837458,SRR25837458_1.fastq.gz,NA
SAMN33179733,SRR25837463,SRR25837463_1.fastq.gz,NA
SAMN33179734,SRR25837445,SRR25837445_1.fastq.gz,NA
SAMN33179735,SRR25837449,SRR25837449_1.fastq.gz,NA
SAMN33179736,SRR25837495,SRR25837495_1.fastq.gz,NA
SAMN33179737,SRR25837462,SRR25837462_1.fastq.gz,NA
SAMN33179738,SRR25837454,SRR25837454_1.fastq.gz,NA
SAMN33179739,SRR25837476,SRR25837476_1.fastq.gz,NA
SAMN33179740,SRR25837497,SRR25837497_1.fastq.gz,NA
SAMN33179741,SRR25837466,SRR25837466_1.fastq.gz,NA
SAMN33179742,SRR25837485,SRR25837485_1.fastq.gz,NA
SAMN33179743,SRR25837460,SRR25837460_1.fastq.gz,NA
SAMN33179744,SRR25837491,SRR25837491_1.fastq.gz,NA
SAMN33179745,SRR25837442,SRR25837442_1.fastq.gz,NA
SAMN33179746,SRR25837484,SRR25837484_1.fastq.gz,NA
SAMN33179747,SRR25837483,SRR25837483_1.fastq.gz,NA
SAMN33179748,SRR25837508,SRR25837508_1.fastq.gz,NA
SAMN33179749,SRR25837503,SRR25837503_1.fastq.gz,NA
SAMN33179750,SRR25837493,SRR25837493_1.fastq.gz,NA
SAMN33179751,SRR25837494,SRR25837494_1.fastq.gz,NA
SAMN33179752,SRR25837453,SRR25837453_1.fastq.gz,NA
SAMN33179753,SRR25837455,SRR25837455_1.fastq.gz,NA
SAMN33179754,SRR25837471,SRR25837471_1.fastq.gz,NA
SAMN33179755,SRR25837488,SRR25837488_1.fastq.gz,NA
SAMN33179756,SRR25837468,SRR25837468_1.fastq.gz,NA
SAMN33179757,SRR25837448,SRR25837448_1.fastq.gz,NA
SAMN33179758,SRR25837507,SRR25837507_1.fastq.gz,NA
SAMN33179759,SRR25837480,SRR25837480_1.fastq.gz,NA
SAMN33179760,SRR25837492,SRR25837492_1.fastq.gz,NA
SAMN33179761,SRR25837499,SRR25837499_1.fastq.gz,NA
SAMN33179762,SRR25837504,SRR25837504_1.fastq.gz,NA
SAMN33179763,SRR25837481,SRR25837481_1.fastq.gz,NA
SAMN33179764,SRR25837444,SRR25837444_1.fastq.gz,NA
SAMN33179765,SRR25837498,SRR25837498_1.fastq.gz,NA
SAMN33179766,SRR25837502,SRR25837502_1.fastq.gz,NA
SAMN33179767,SRR25837470,SRR25837470_1.fastq.gz,NA
SAMN33179768,SRR25837456,SRR25837456_1.fastq.gz,NA
SAMN33179769,SRR25837486,SRR25837486_1.fastq.gz,NA
SAMN33179770,SRR25837472,SRR25837472_1.fastq.gz,NA
SAMN33179771,SRR25837467,SRR25837467_1.fastq.gz,NA
SAMN33179772,SRR25837475,SRR25837475_1.fastq.gz,NA
SAMN33179773,SRR25837469,SRR25837469_1.fastq.gz,NA
SAMN33179774,SRR25837509,SRR25837509_1.fastq.gz,NA
SAMN33179775,SRR25837443,SRR25837443_1.fastq.gz,NA
SAMN33179776,SRR25837457,SRR25837457_1.fastq.gz,NA
SAMN33179777,SRR25837447,SRR25837447_1.fastq.gz,NA
SAMN33179778,SRR25837496,SRR25837496_1.fastq.gz,NA
SAMN33179779,SRR25837452,SRR25837452_1.fastq.gz,NA
SAMN33179780,SRR25837474,SRR25837474_1.fastq.gz,NA
SAMN33179781,SRR25837482,SRR25837482_1.fastq.gz,NA
SAMN33179782,SRR25837478,SRR25837478_1.fastq.gz,NA
SAMN33179783,SRR25837487,SRR25837487_1.fastq.gz,NA
SAMN36537999,SRR25294043,SRR25294043_1.fastq.gz,NA
SAMN36538008,SRR25294044,SRR25294044_1.fastq.gz,NA
