sample_id,in_bam_dir,in_sample_list,mismatch
SAMN06971562,False,True,True
SAMN06971563,False,True,True
SAMN06971564,False,True,True
SAMN06971565,False,True,True
SAMN06971594,False,True,True
SAMN06971595,False,True,True
SAMN06971596,False,True,True
SAMN06971597,False,True,True
SAMN06971598,False,True,True
SAMN06971599,False,True,True
SAMN06971600,False,True,True
SAMN06971601,False,True,True
SAMN06971602,False,True,True
SAMN06971603,False,True,True
SAMN06971604,False,True,True
SAMN06971605,False,True,True
SAMN06971606,False,True,True
SAMN06971607,False,True,True
SAMN06971608,False,True,True
SAMN06971609,False,True,True
SAMN06971610,False,True,True
SAMN06971611,False,True,True
SAMN06971612,False,True,True
SAMN06971624,False,True,True
SAMN06971625,False,True,True
SAMN06971626,False,True,True
SAMN06971627,False,True,True
SAMN06971628,False,True,True
SAMN06971629,False,True,True
SAMN06971630,False,True,True
SAMN06971631,False,True,True
SAMN06971632,False,True,True
SAMN06971633,False,True,True
SAMN06971634,False,True,True
SAMN06971635,False,True,True
SAMN06971636,False,True,True
SAMN06971637,False,True,True
SAMN06971638,False,True,True
SAMN06971639,False,True,True
SAMN06971640,False,True,True
SAMN06971641,False,True,True
SAMN06971642,False,True,True
SAMN06971643,False,True,True
SAMN06971644,False,True,True
SAMN06971645,False,True,True
SAMN06971646,False,True,True
SAMN06971647,False,True,True
SAMN06971648,False,True,True
SAMN06971649,False,True,True
SAMN06971650,False,True,True
SAMN06971651,False,True,True
SAMN06971652,False,True,True
SAMN06971653,False,True,True
SAMN06971654,False,True,True
SAMN06971655,False,True,True
SAMN06971656,False,True,True
SAMN06971657,False,True,True
SAMN06971658,False,True,True
SAMN06971659,False,True,True
SAMN06971660,False,True,True
SAMN06971661,False,True,True
SAMN06971662,False,True,True
SAMN06971663,False,True,True
SAMN06971664,False,True,True
SAMN06971665,False,True,True
SAMN06971666,False,True,True
SAMN06971667,False,True,True
SAMN06971668,False,True,True
SAMN06971669,False,True,True
SAMN06971670,False,True,True
SAMN06971671,False,True,True
SAMN06971672,False,True,True
SAMN06971673,False,True,True
SAMN06971674,False,True,True
SAMN06971675,False,True,True
SAMN06971676,False,True,True
SAMN06971677,False,True,True
SAMN06971678,False,True,True
SAMN06971679,False,True,True
SAMN06971680,False,True,True
SAMN06971681,False,True,True
