id,id_type,in_logs,in_sample_list,location,mismatch
SAMN06971562,SAMN,True,True,first_column,False
SAMN06971563,SAMN,True,True,first_column,False
SAMN06971564,SAMN,True,True,first_column,False
SAMN06971565,SAMN,True,True,first_column,False
SAMN06971594,SAMN,True,True,first_column,False
SAMN06971595,SAMN,True,True,first_column,False
SAMN06971596,SAMN,True,True,first_column,False
SAMN06971597,SAMN,True,True,first_column,False
SAMN06971598,SAMN,True,True,first_column,False
SAMN06971599,SAMN,True,True,first_column,False
SAMN06971600,SAMN,True,True,first_column,False
SAMN06971601,SAMN,True,True,first_column,False
SAMN06971602,SAMN,True,True,first_column,False
SAMN06971603,SAMN,True,True,first_column,False
SAMN06971604,SAMN,True,True,first_column,False
SAMN06971605,SAMN,True,True,first_column,False
SAMN06971606,SAMN,True,True,first_column,False
SAMN06971607,SAMN,True,True,first_column,False
SAMN06971608,SAMN,True,True,first_column,False
SAMN06971609,SAMN,True,True,first_column,False
SAMN06971610,SAMN,True,True,first_column,False
SAMN06971611,SAMN,True,True,first_column,False
SAMN06971612,SAMN,True,True,first_column,False
SAMN06971624,SAMN,True,True,first_column,False
SAMN06971625,SAMN,True,True,first_column,False
SAMN06971626,SAMN,True,True,first_column,False
SAMN06971627,SAMN,True,True,first_column,False
SAMN06971628,SAMN,True,True,first_column,False
SAMN06971629,SAMN,True,True,first_column,False
SAMN06971630,SAMN,True,True,first_column,False
SAMN06971631,SAMN,True,True,first_column,False
SAMN06971632,SAMN,True,True,first_column,False
SAMN06971633,SAMN,True,True,first_column,False
SAMN06971634,SAMN,True,True,first_column,False
SAMN06971635,SAMN,True,True,first_column,False
SAMN06971636,SAMN,True,True,first_column,False
SAMN06971637,SAMN,True,True,first_column,False
SAMN06971638,SAMN,True,True,first_column,False
SAMN06971639,SAMN,True,True,first_column,False
SAMN06971640,SAMN,True,True,first_column,False
SAMN06971641,SAMN,True,True,first_column,False
SAMN06971642,SAMN,True,True,first_column,False
SAMN06971643,SAMN,True,True,first_column,False
SAMN06971644,SAMN,True,True,first_column,False
SAMN06971645,SAMN,True,True,first_column,False
SAMN06971646,SAMN,True,True,first_column,False
SAMN06971647,SAMN,True,True,first_column,False
SAMN06971648,SAMN,True,True,first_column,False
SAMN06971649,SAMN,True,True,first_column,False
SAMN06971650,SAMN,True,True,first_column,False
SAMN06971651,SAMN,True,True,first_column,False
SAMN06971652,SAMN,True,True,first_column,False
SAMN06971653,SAMN,True,True,first_column,False
SAMN06971654,SAMN,True,True,first_column,False
SAMN06971655,SAMN,True,True,first_column,False
SAMN06971656,SAMN,True,True,first_column,False
SAMN06971657,SAMN,True,True,first_column,False
SAMN06971658,SAMN,True,True,first_column,False
SAMN06971659,SAMN,True,True,first_column,False
SAMN06971660,SAMN,True,True,first_column,False
SAMN06971661,SAMN,True,True,first_column,False
SAMN06971662,SAMN,True,True,first_column,False
