SAMN06971612	SRR5553896_1.fastq.gz	SRR5553896_2.fastq.gz
SAMN06971611	SRR5553897_1.fastq.gz	SRR5553897_2.fastq.gz
SAMN06971610	SRR5553898_1.fastq.gz	SRR5553898_2.fastq.gz
SAMN06971609	SRR5553899_1.fastq.gz	SRR5553899_2.fastq.gz
SAMN06971608	SRR5553900_1.fastq.gz	SRR5553900_2.fastq.gz
SAMN06971607	SRR5553901_1.fastq.gz	SRR5553901_2.fastq.gz
SAMN06971606	SRR5553902_1.fastq.gz	SRR5553902_2.fastq.gz
SAMN06971605	SRR5553903_1.fastq.gz	SRR5553903_2.fastq.gz
SAMN06971604	SRR5553904_1.fastq.gz	SRR5553904_2.fastq.gz
SAMN06971603	SRR5553905_1.fastq.gz	SRR5553905_2.fastq.gz
SAMN06971602	SRR5553906_1.fastq.gz	SRR5553906_2.fastq.gz
SAMN06971601	SRR5553907_1.fastq.gz	SRR5553907_2.fastq.gz
SAMN06971600	SRR5553908_1.fastq.gz	SRR5553908_2.fastq.gz
SAMN06971599	SRR5553909_1.fastq.gz	SRR5553909_2.fastq.gz
SAMN06971598	SRR5553910_1.fastq.gz	SRR5553910_2.fastq.gz
SAMN06971597	SRR5553911_1.fastq.gz	SRR5553911_2.fastq.gz
SAMN06971651	SRR5553913_1.fastq.gz	SRR5553913_2.fastq.gz
SAMN06971652	SRR5553912_1.fastq.gz	SRR5553912_2.fastq.gz
SAMN06971650	SRR5553914_1.fastq.gz	SRR5553914_2.fastq.gz
SAMN06971596	SRR5553915_1.fastq.gz	SRR5553915_2.fastq.gz
SAMN06971595	SRR5553916_1.fastq.gz	SRR5553916_2.fastq.gz
SAMN06971653	SRR5553918_1.fastq.gz	SRR5553918_2.fastq.gz
SAMN06971649	SRR5553919_1.fastq.gz	SRR5553919_2.fastq.gz
SAMN06971594	SRR5553917_1.fastq.gz	SRR5553917_2.fastq.gz
SAMN06971648	SRR5553920_1.fastq.gz	SRR5553920_2.fastq.gz
SAMN06971647	SRR5553921_1.fastq.gz	SRR5553921_2.fastq.gz
SAMN06971646	SRR5553922_1.fastq.gz	SRR5553922_2.fastq.gz
