sample_id,in_bam_dir,in_sample_list,mismatch
SAMEA104561904,True,True,False
SAMEA104561905,True,True,False
SAMEA104561906,True,True,False
SAMEA104561909,True,True,False
SAMEA104561911,True,True,False
SAMEA104561913,True,True,False
SAMEA104561915,True,True,False
SAMEA104561921,True,True,False
SAMEA104561924,True,True,False
SAMEA104561925,True,True,False
SAMEA104561927,True,True,False
SAMEA104561928,True,True,False
SAMEA104561935,True,True,False
SAMEA104561936,True,True,False
SAMEA104561940,True,True,False
SAMEA104561941,True,True,False
SAMN09862101,True,False,True
SAMN09862102,True,False,True
SAMN09862103,True,False,True
SAMN09862104,True,False,True
SAMN09862105,True,False,True
SAMN13336157,True,False,True
SAMN13336158,True,False,True
SAMN13336160,True,True,False
SAMN13336161,True,True,False
SAMN15812409,True,False,True
SAMN15812410,True,False,True
SAMN15812411,True,False,True
SAMN15812412,True,False,True
SAMN15812413,True,False,True
SAMN15812414,True,False,True
SAMN15812415,True,False,True
SAMN15812416,True,False,True
SAMN15812417,True,False,True
SAMN15812418,True,False,True
SAMN19580774,True,True,False
SAMN19580777,True,True,False
SAMN19580778,True,True,False
SAMN19580779,True,True,False
SAMN19580780,True,True,False
SAMN21555486,False,True,True
SAMN21555488,True,True,False
SAMN21555494,True,True,False
SAMN21555496,True,True,False
SAMN21555506,True,True,False
SAMN21555508,True,True,False
SAMN21555510,True,True,False
SAMN21555514,True,True,False
SAMN21555516,True,True,False
SAMN21555518,True,True,False
SAMN21555520,True,True,False
SAMN43394768,True,True,False
SAMN43394771,True,True,False
SAMN43394775,True,True,False
SAMN43394784,True,True,False
SAMN43394790,True,True,False
SAMN43394792,True,True,False
SAMN43394810,True,True,False
SAMN43394811,True,True,False
SAMN43394818,True,True,False
SAMN43394827,True,True,False
SAMN43394835,True,True,False
SAMN43394840,True,True,False
SAMN43394844,True,True,False
SAMN43394845,True,True,False
SAMN43394846,True,True,False
SAMN43394853,True,True,False
SAMN43394854,False,True,True
SAMN43394855,True,True,False
SAMN43394861,False,True,True
SAMN43394863,False,True,True
SAMN43394864,False,True,True
