sample_id,in_bam_dir,in_sample_list,mismatch
SAMN02838099,False,True,True
SAMN20392134,False,True,True
SAMN21237737,True,False,True
SAMN21237738,True,False,True
SAMN21237740,True,False,True
SAMN21237741,True,False,True
SAMN21237742,True,False,True
SAMN21237743,True,False,True
SAMN21237744,True,False,True
SAMN21237745,True,False,True
SAMN21237746,True,False,True
SAMN21237747,True,False,True
SAMN21237748,True,False,True
SAMN21237749,True,False,True
SAMN21237750,True,False,True
SAMN21237751,True,False,True
SAMN21237752,True,False,True
SAMN21237753,True,False,True
SAMN21237754,True,False,True
SAMN21237755,True,False,True
SAMN21237756,True,False,True
SAMN21237757,True,False,True
SAMN21237758,True,False,True
SAMN21237759,True,False,True
SAMN25898204,False,True,True
SAMN36452469,True,True,False
SAMN36452470,True,True,False
SAMN36452471,True,True,False
SAMN36452472,True,True,False
SAMN36452473,True,True,False
SAMN36452474,True,True,False
SAMN36452475,True,True,False
SAMN36452476,True,True,False
SAMN36452477,True,True,False
