id,id_type,in_logs,in_sample_list,location,mismatch
SAMN21237737,SAMN,True,False,none,True
SAMN21237738,SAMN,True,False,none,True
SAMN21237740,SAMN,True,False,none,True
SAMN21237741,SAMN,True,False,none,True
SAMN21237742,SAMN,True,False,none,True
SAMN21237743,SAMN,True,False,none,True
SAMN21237744,SAMN,True,False,none,True
SAMN21237745,SAMN,True,False,none,True
SAMN21237746,SAMN,True,False,none,True
SAMN21237747,SAMN,True,False,none,True
SAMN21237748,SAMN,True,False,none,True
SAMN21237749,SAMN,True,False,none,True
SAMN21237750,SAMN,True,False,none,True
SAMN21237751,SAMN,True,False,none,True
SAMN21237752,SAMN,True,False,none,True
SAMN21237753,SAMN,True,False,none,True
SAMN21237754,SAMN,True,False,none,True
SAMN21237755,SAMN,True,False,none,True
SAMN21237756,SAMN,True,False,none,True
SAMN21237757,SAMN,True,False,none,True
SAMN21237758,SAMN,True,False,none,True
SAMN21237759,SAMN,True,False,none,True
SAMN36452469,SAMN,True,False,none,True
SAMN36452470,SAMN,True,False,none,True
SAMN36452471,SAMN,True,False,none,True
SAMN36452472,SAMN,True,False,none,True
SAMN36452473,SAMN,True,False,none,True
SAMN36452474,SAMN,True,False,none,True
SAMN36452475,SAMN,True,False,none,True
SAMN36452476,SAMN,True,False,none,True
SAMN36452477,SAMN,True,False,none,True
