id,id_type,in_logs,in_sample_list,location,mismatch
SAMN01136907,SAMN,True,False,none,True
SAMN01136947,SAMN,True,False,none,True
SAMN01137005,SAMN,True,False,none,True
SAMN01137118,SAMN,True,False,none,True
SAMN02838099,SAMN,True,True,first_column,False
SAMN04349058,SAMN,True,False,none,True
SAMN04349059,SAMN,True,False,none,True
SAMN04349060,SAMN,True,False,none,True
SAMN04349061,SAMN,True,False,none,True
SAMN04349062,SAMN,True,False,none,True
SAMN04349063,SAMN,True,False,none,True
SAMN04349064,SAMN,True,False,none,True
SAMN04349065,SAMN,True,False,none,True
SAMN04349066,SAMN,True,False,none,True
SAMN04349067,SAMN,True,False,none,True
SAMN04349068,SAMN,True,False,none,True
SAMN04349069,SAMN,True,False,none,True
SAMN04349070,SAMN,True,False,none,True
SAMN04349071,SAMN,True,False,none,True
SAMN04349072,SAMN,True,False,none,True
SAMN04349073,SAMN,True,False,none,True
SAMN04349074,SAMN,True,False,none,True
SAMN04349075,SAMN,True,False,none,True
SAMN04349076,SAMN,True,False,none,True
SAMN04349077,SAMN,True,False,none,True
SAMN04349078,SAMN,True,False,none,True
SAMN04349079,SAMN,True,False,none,True
SAMN04349080,SAMN,True,False,none,True
SAMN04349081,SAMN,True,False,none,True
SAMN04349082,SAMN,True,False,none,True
SAMN04349083,SAMN,True,False,none,True
SAMN04349084,SAMN,True,False,none,True
SAMN04349085,SAMN,True,False,none,True
SAMN04349086,SAMN,True,False,none,True
SAMN04349087,SAMN,True,False,none,True
SAMN04349088,SAMN,True,False,none,True
SAMN04349089,SAMN,True,False,none,True
SAMN04349090,SAMN,True,False,none,True
SAMN04349091,SAMN,True,False,none,True
SAMN04349092,SAMN,True,False,none,True
SAMN04349093,SAMN,True,False,none,True
SAMN04349094,SAMN,True,False,none,True
SAMN04349095,SAMN,True,False,none,True
SAMN04349096,SAMN,True,False,none,True
SAMN04349097,SAMN,True,False,none,True
SAMN04349098,SAMN,True,False,none,True
SAMN04349099,SAMN,True,False,none,True
SAMN04349100,SAMN,True,False,none,True
SAMN04349101,SAMN,True,False,none,True
SAMN04349102,SAMN,True,False,none,True
SAMN04349103,SAMN,True,False,none,True
SAMN04349104,SAMN,True,False,none,True
SAMN04372240,SAMN,True,False,none,True
SAMN04372241,SAMN,True,False,none,True
SAMN04372242,SAMN,True,False,none,True
SAMN07246723,SAMN,True,False,none,True
SAMN07246724,SAMN,True,False,none,True
SAMN07246725,SAMN,True,False,none,True
SAMN07246726,SAMN,True,False,none,True
SAMN07246727,SAMN,True,False,none,True
SAMN07246728,SAMN,True,False,none,True
SAMN07246729,SAMN,True,False,none,True
SAMN07246730,SAMN,True,False,none,True
SAMN07246731,SAMN,True,False,none,True
SAMN07246732,SAMN,True,False,none,True
SAMN07246733,SAMN,True,False,none,True
SAMN07246734,SAMN,True,False,none,True
SAMN07246735,SAMN,True,False,none,True
SAMN07246736,SAMN,True,False,none,True
SAMN07246737,SAMN,True,False,none,True
SAMN07246738,SAMN,True,False,none,True
SAMN07246739,SAMN,True,False,none,True
SAMN07246740,SAMN,True,False,none,True
SAMN07246741,SAMN,True,False,none,True
SAMN07246742,SAMN,True,False,none,True
SAMN07246743,SAMN,True,False,none,True
SAMN07246744,SAMN,True,False,none,True
SAMN07246745,SAMN,True,False,none,True
SAMN07246746,SAMN,True,False,none,True
SAMN07246747,SAMN,True,False,none,True
SAMN07246748,SAMN,True,False,none,True
SAMN07246749,SAMN,True,False,none,True
SAMN07246750,SAMN,True,False,none,True
SAMN07246751,SAMN,True,False,none,True
SAMN07246752,SAMN,True,False,none,True
SAMN07246753,SAMN,True,False,none,True
SAMN07246754,SAMN,True,False,none,True
SAMN07246755,SAMN,True,False,none,True
SAMN07246756,SAMN,True,False,none,True
SAMN07246757,SAMN,True,False,none,True
SAMN07246758,SAMN,True,False,none,True
SAMN07246759,SAMN,True,False,none,True
SAMN07246760,SAMN,True,False,none,True
SAMN07246761,SAMN,True,False,none,True
SAMN07246762,SAMN,True,False,none,True
SAMN12994619,SAMN,True,False,none,True
SAMN12994620,SAMN,True,False,none,True
SAMN12994621,SAMN,True,False,none,True
SAMN12994622,SAMN,True,False,none,True
SAMN12994623,SAMN,True,False,none,True
SAMN12994624,SAMN,True,False,none,True
SAMN12994625,SAMN,True,False,none,True
SAMN12994626,SAMN,True,False,none,True
SAMN14327601,SAMN,True,False,none,True
SAMN14327803,SAMN,True,False,none,True
SAMN14327928,SAMN,True,False,none,True
SAMN14328334,SAMN,True,False,none,True
SAMN14328648,SAMN,True,False,none,True
SAMN20169169,SAMN,True,False,none,True
SAMN20169171,SAMN,True,False,none,True
SAMN20169173,SAMN,True,False,none,True
SAMN20169176,SAMN,True,False,none,True
SAMN20169179,SAMN,True,False,none,True
SAMN20223881,SAMN,True,False,none,True
SAMN20223883,SAMN,True,False,none,True
SAMN20223885,SAMN,True,False,none,True
SAMN20223887,SAMN,True,False,none,True
SAMN20223889,SAMN,True,False,none,True
SAMN20392134,SAMN,True,True,first_column,False
SAMN21237737,SAMN,True,True,first_column,False
SAMN21237738,SAMN,True,True,first_column,False
SAMN21237739,SAMN,True,False,none,True
SAMN21237740,SAMN,True,True,first_column,False
SAMN21237741,SAMN,True,True,first_column,False
SAMN21237742,SAMN,True,True,first_column,False
SAMN21237743,SAMN,True,True,first_column,False
SAMN21237744,SAMN,True,True,first_column,False
SAMN21237745,SAMN,True,True,first_column,False
SAMN21237746,SAMN,True,True,first_column,False
SAMN21237747,SAMN,True,True,first_column,False
SAMN21237748,SAMN,True,True,first_column,False
SAMN21237749,SAMN,True,True,first_column,False
SAMN21237750,SAMN,True,True,first_column,False
SAMN21237751,SAMN,True,True,first_column,False
SAMN21237752,SAMN,True,True,first_column,False
SAMN21237753,SAMN,True,True,first_column,False
SAMN21237754,SAMN,True,True,first_column,False
SAMN21237755,SAMN,True,True,first_column,False
SAMN21237756,SAMN,True,True,first_column,False
SAMN21237757,SAMN,True,True,first_column,False
SAMN21237758,SAMN,True,True,first_column,False
SAMN21237759,SAMN,True,True,first_column,False
SAMN25898204,SAMN,True,True,first_column,False
SAMN36452469,SAMN,True,True,first_column,False
SAMN36452470,SAMN,True,True,first_column,False
SAMN36452471,SAMN,True,True,first_column,False
SAMN36452472,SAMN,True,True,first_column,False
SAMN36452473,SAMN,True,True,first_column,False
SAMN36452474,SAMN,True,True,first_column,False
SAMN36452475,SAMN,True,True,first_column,False
SAMN36452476,SAMN,True,True,first_column,False
SAMN36452477,SAMN,True,True,first_column,False
SAMN37353904,SAMN,True,False,none,True
SAMN37353905,SAMN,True,False,none,True
SAMN37353906,SAMN,True,False,none,True
SAMN37353907,SAMN,True,False,none,True
SAMN37353908,SAMN,True,False,none,True
SAMN37353909,SAMN,True,False,none,True
SAMN37353910,SAMN,True,False,none,True
SAMN37353911,SAMN,True,False,none,True
SAMN37353912,SAMN,True,False,none,True
SAMN37353913,SAMN,True,False,none,True
SAMN37353914,SAMN,True,False,none,True
SAMN37353915,SAMN,True,False,none,True
SAMN37353916,SAMN,True,False,none,True
SAMN37353917,SAMN,True,False,none,True
SAMN37353918,SAMN,True,False,none,True
SAMN37353919,SAMN,True,False,none,True
SAMN37353920,SAMN,True,False,none,True
SAMN37353921,SAMN,True,False,none,True
SAMN37353922,SAMN,True,False,none,True
SAMN37353923,SAMN,True,False,none,True
SAMN41434525,SAMN,True,False,none,True
SAMN41434526,SAMN,True,False,none,True
SAMN41434527,SAMN,True,False,none,True
SAMN41434528,SAMN,True,False,none,True
SAMN41434529,SAMN,True,False,none,True
SAMN41434530,SAMN,True,False,none,True
SAMN41434531,SAMN,True,False,none,True
SAMN41434532,SAMN,True,False,none,True
SAMN41434533,SAMN,True,False,none,True
SAMN41434534,SAMN,True,False,none,True
SAMN41434535,SAMN,True,False,none,True
SAMN41434536,SAMN,True,False,none,True
SAMN43304814,SAMN,True,False,none,True
SAMN43304815,SAMN,True,False,none,True
SAMN43304816,SAMN,True,False,none,True
SAMN43304817,SAMN,True,False,none,True
SAMN43304818,SAMN,True,False,none,True
SAMN43304819,SAMN,True,False,none,True
SAMN43304821,SAMN,True,False,none,True
SAMN43304822,SAMN,True,False,none,True
SAMN43304824,SAMN,True,False,none,True
SAMN43304825,SAMN,True,False,none,True
SAMN43304826,SAMN,True,False,none,True
SAMN43304827,SAMN,True,False,none,True
SAMN43304828,SAMN,True,False,none,True
SAMN43304829,SAMN,True,False,none,True
SAMN43304830,SAMN,True,False,none,True
SAMN43304831,SAMN,True,False,none,True
SAMN43304832,SAMN,True,False,none,True
SAMN43304833,SAMN,True,False,none,True
SAMN43304834,SAMN,True,False,none,True
SAMN43304835,SAMN,True,False,none,True
SAMN43304836,SAMN,True,False,none,True
SAMN43304838,SAMN,True,False,none,True
SAMN43304839,SAMN,True,False,none,True
SAMN43304840,SAMN,True,False,none,True
SAMN44842444,SAMN,True,False,none,True
SAMN44842445,SAMN,True,False,none,True
SAMN44842446,SAMN,True,False,none,True
SAMN44842447,SAMN,True,False,none,True
SAMN44842448,SAMN,True,False,none,True
SAMN44842449,SAMN,True,False,none,True
SAMN44842450,SAMN,True,False,none,True
SAMN44842451,SAMN,True,False,none,True
SAMN44842452,SAMN,True,False,none,True
SAMN44842453,SAMN,True,False,none,True
SAMN44842454,SAMN,True,False,none,True
SAMN44842455,SAMN,True,False,none,True
SAMN44842456,SAMN,True,False,none,True
SAMN44842457,SAMN,True,False,none,True
SAMN44842458,SAMN,True,False,none,True
SAMN44842459,SAMN,True,False,none,True
SAMN44842460,SAMN,True,False,none,True
SAMN44842461,SAMN,True,False,none,True
SAMN44842462,SAMN,True,False,none,True
SAMN44842463,SAMN,True,False,none,True
SAMN44842464,SAMN,True,False,none,True
SAMN44842465,SAMN,True,False,none,True
SRR15724304,SRR,True,True,R1_or_R2,False
SRR15724305,SRR,True,True,R1_or_R2,False
SRR15724306,SRR,True,False,none,True
SRR15724307,SRR,True,True,R1_or_R2,False
SRR15724308,SRR,True,True,R1_or_R2,False
SRR15724309,SRR,True,True,R1_or_R2,False
SRR15724310,SRR,True,True,R1_or_R2,False
SRR15724311,SRR,True,True,R1_or_R2,False
SRR15724312,SRR,True,True,R1_or_R2,False
SRR15724313,SRR,True,True,R1_or_R2,False
SRR15724314,SRR,True,True,R1_or_R2,False
SRR15724315,SRR,True,True,R1_or_R2,False
SRR15724316,SRR,True,True,R1_or_R2,False
SRR15724317,SRR,True,True,R1_or_R2,False
SRR15724318,SRR,True,True,R1_or_R2,False
SRR15724319,SRR,True,True,R1_or_R2,False
SRR15724320,SRR,True,True,R1_or_R2,False
SRR15724321,SRR,True,True,R1_or_R2,False
SRR15724322,SRR,True,True,R1_or_R2,False
SRR15724323,SRR,True,True,R1_or_R2,False
SRR15724324,SRR,True,True,R1_or_R2,False
SRR15724325,SRR,True,True,R1_or_R2,False
SRR15724326,SRR,True,True,R1_or_R2,False
SRR16975654,SRR,True,True,R1_or_R2,False
SRR18012445,SRR,True,True,R1_or_R2,False
SRR25281073,SRR,True,True,R1_or_R2,False
SRR25281074,SRR,True,True,R1_or_R2,False
SRR25281076,SRR,True,True,R1_or_R2,False
SRR25281077,SRR,True,True,R1_or_R2,False
SRR25281078,SRR,True,True,R1_or_R2,False
SRR25281079,SRR,True,True,R1_or_R2,False
SRR25281080,SRR,True,True,R1_or_R2,False
SRR25281081,SRR,True,True,R1_or_R2,False
SRR25281082,SRR,True,True,R1_or_R2,False
SRR5144220,SRR,True,True,R1_or_R2,False
