id,id_type,in_logs,in_sample_list,location,mismatch
SRR15724304,SRR,True,False,none,True
SRR15724305,SRR,True,False,none,True
SRR15724307,SRR,True,False,none,True
SRR15724308,SRR,True,False,none,True
SRR15724309,SRR,True,False,none,True
SRR15724310,SRR,True,False,none,True
SRR15724311,SRR,True,False,none,True
SRR15724312,SRR,True,False,none,True
SRR15724313,SRR,True,False,none,True
SRR15724314,SRR,True,False,none,True
SRR15724315,SRR,True,False,none,True
SRR15724316,SRR,True,False,none,True
SRR15724317,SRR,True,False,none,True
SRR15724318,SRR,True,False,none,True
SRR15724319,SRR,True,False,none,True
SRR15724320,SRR,True,False,none,True
SRR15724321,SRR,True,False,none,True
SRR15724322,SRR,True,False,none,True
SRR15724323,SRR,True,False,none,True
SRR15724324,SRR,True,False,none,True
SRR15724325,SRR,True,False,none,True
SRR15724326,SRR,True,False,none,True
